iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-22 16:41:04,0.0,8.7984,60.0,0.1466,0.0
1,15360,train,2026-07-22 16:41:19,0.0,0.0858,60.0,0.0014,0.0
2,30720,train,2026-07-22 16:41:38,0.0,0.0826,60.0,0.0014,0.0
3,46080,train,2026-07-22 16:42:16,0.0,0.0698,60.0,0.0012,0.0
4,61440,train,2026-07-22 16:42:53,0.0,0.0356,60.0,0.0006,0.0
5,76800,train,2026-07-22 16:43:31,0.0,0.0247,60.0,0.0004,0.0
6,92160,train,2026-07-22 16:44:08,0.0,0.0309,60.0,0.0005,0.0
7,107520,train,2026-07-22 16:44:45,0.0,0.0285,60.0,0.0005,0.0
8,122880,train,2026-07-22 16:45:22,0.0,0.024,60.0,0.0004,0.0
9,138240,train,2026-07-22 16:46:00,0.0,0.0256,60.0,0.0004,0.0
10,153600,train,2026-07-22 16:46:37,0.0,0.0279,60.0,0.0005,0.0
11,168960,train,2026-07-22 16:47:14,0.0,0.0344,60.0,0.0006,0.0
12,184320,train,2026-07-22 16:47:51,0.0,0.0363,60.0,0.0006,0.0
13,199680,train,2026-07-22 16:48:29,0.0,0.0397,60.0,0.0007,0.0
14,215040,train,2026-07-22 16:49:06,0.0,0.0508,60.0,0.0008,0.0
15,230400,train,2026-07-22 16:49:43,0.0,0.0514,60.0,0.0009,0.0
16,245760,train,2026-07-22 16:50:21,0.0,0.08,60.0,0.0013,0.0
17,261120,train,2026-07-22 16:50:58,0.0,0.1027,60.0,0.0017,0.0
18,276480,train,2026-07-22 16:51:36,0.0,0.2182,60.0,0.0036,0.0
19,291840,train,2026-07-22 16:52:14,0.0,0.4866,60.0,0.0081,0.0
20,307200,train,2026-07-22 16:52:52,0.0039,0.5006,60.0,0.0083,0.0
21,322560,train,2026-07-22 16:53:31,0.0,0.9355,60.0,0.0156,0.0
22,337920,train,2026-07-22 16:54:09,0.0,0.8266,60.0,0.0138,0.0
23,353280,train,2026-07-22 16:54:47,0.0,0.9146,60.0,0.0152,0.0
24,368640,train,2026-07-22 16:55:27,0.0,0.8573,60.0,0.0143,0.0
25,368640,eval,2026-07-22 16:57:30,0.1146,5.1197,60.0,0.0853,0.0208
25,384000,train,2026-07-22 16:57:46,0.0,1.2277,60.0,0.0205,0.0
26,399360,train,2026-07-22 16:58:24,0.0,1.0286,60.0,0.0171,0.0
27,414720,train,2026-07-22 16:59:03,0.0,1.265,60.0,0.0211,0.0
28,430080,train,2026-07-22 16:59:42,0.0,1.2835,60.0,0.0214,0.0
29,445440,train,2026-07-22 17:00:20,0.0039,1.1726,60.0,0.0195,0.0
30,460800,train,2026-07-22 17:00:58,0.0,1.455,60.0,0.0243,0.0
31,476160,train,2026-07-22 17:01:37,0.0,1.5552,60.0,0.0259,0.0
32,491520,train,2026-07-22 17:02:16,0.0,1.5287,60.0,0.0255,0.0
33,506880,train,2026-07-22 17:02:54,0.0,1.6316,60.0,0.0272,0.0
34,522240,train,2026-07-22 17:03:33,0.0,1.4973,60.0,0.025,0.0
35,537600,train,2026-07-22 17:04:12,0.0,1.7183,60.0,0.0286,0.0
36,552960,train,2026-07-22 17:04:50,0.0,1.9119,60.0,0.0319,0.0
37,568320,train,2026-07-22 17:05:29,0.0,1.7462,60.0,0.0291,0.0
38,583680,train,2026-07-22 17:06:08,0.0039,1.8516,60.0,0.0309,0.0
39,599040,train,2026-07-22 17:06:46,0.0078,1.625,60.0,0.0271,0.0
40,614400,train,2026-07-22 17:07:25,0.0,1.9797,60.0,0.033,0.0
41,629760,train,2026-07-22 17:08:04,0.0039,1.8081,60.0,0.0301,0.0
42,645120,train,2026-07-22 17:08:42,0.0,1.6368,60.0,0.0273,0.0
43,660480,train,2026-07-22 17:09:21,0.0,1.9753,60.0,0.0329,0.0
44,675840,train,2026-07-22 17:10:00,0.0078,1.9171,60.0,0.032,0.0
45,691200,train,2026-07-22 17:10:38,0.0,1.7895,60.0,0.0298,0.0
46,706560,train,2026-07-22 17:11:17,0.0039,1.8267,60.0,0.0304,0.0
47,721920,train,2026-07-22 17:11:56,0.0039,1.8103,60.0,0.0302,0.0
48,737280,train,2026-07-22 17:12:34,0.0,1.8609,60.0,0.031,0.0
49,737280,eval,2026-07-22 17:14:42,0.1667,6.3086,60.0,0.1051,0.026
49,752640,train,2026-07-22 17:14:59,0.0039,1.8243,60.0,0.0304,0.0
50,768000,train,2026-07-22 17:15:37,0.0,1.772,60.0,0.0295,0.0
51,783360,train,2026-07-22 17:16:17,0.0,1.7901,60.0,0.0298,0.0
52,798720,train,2026-07-22 17:16:55,0.0039,1.8637,60.0,0.0311,0.0
53,814080,train,2026-07-22 17:17:34,0.0039,1.927,60.0,0.0321,0.0
54,829440,train,2026-07-22 17:18:13,0.0117,1.8755,60.0,0.0313,0.0
55,844800,train,2026-07-22 17:18:52,0.0,1.8185,60.0,0.0303,0.0
56,860160,train,2026-07-22 17:19:31,0.0078,1.9093,60.0,0.0318,0.0
57,875520,train,2026-07-22 17:20:09,0.0,1.8501,60.0,0.0308,0.0
58,890880,train,2026-07-22 17:20:48,0.0,1.7939,60.0,0.0299,0.0
59,906240,train,2026-07-22 17:21:27,0.0039,2.004,60.0,0.0334,0.0
60,921600,train,2026-07-22 17:22:06,0.0039,1.8549,60.0,0.0309,0.0
61,936960,train,2026-07-22 17:22:44,0.0,1.6741,60.0,0.0279,0.0
62,952320,train,2026-07-22 17:23:23,0.0039,2.0565,60.0,0.0343,0.0
63,967680,train,2026-07-22 17:24:02,0.0,1.9153,60.0,0.0319,0.0
64,983040,train,2026-07-22 17:24:40,0.0039,1.8234,60.0,0.0304,0.0
65,998400,train,2026-07-22 17:25:19,0.0039,1.8851,60.0,0.0314,0.0
66,1013760,train,2026-07-22 17:25:57,0.0039,1.7978,60.0,0.03,0.0
67,1029120,train,2026-07-22 17:26:35,0.0,2.1866,60.0,0.0364,0.0
68,1044480,train,2026-07-22 17:27:14,0.0,2.2681,60.0,0.0378,0.0
69,1059840,train,2026-07-22 17:27:53,0.0,1.7803,60.0,0.0297,0.0
70,1075200,train,2026-07-22 17:28:32,0.0,1.9575,60.0,0.0326,0.0
71,1090560,train,2026-07-22 17:29:11,0.0039,2.0047,60.0,0.0334,0.0
72,1105920,train,2026-07-22 17:29:49,0.0039,2.2112,60.0,0.0369,0.0
73,1105920,eval,2026-07-22 17:31:59,0.2135,6.8632,60.0,0.1144,0.0677
73,1121280,train,2026-07-22 17:32:15,0.0,1.9723,60.0,0.0329,0.0
74,1136640,train,2026-07-22 17:32:54,0.0039,2.0141,60.0,0.0336,0.0
75,1152000,train,2026-07-22 17:33:33,0.0,1.9013,60.0,0.0317,0.0
76,1167360,train,2026-07-22 17:34:12,0.0039,2.0797,60.0,0.0347,0.0
77,1182720,train,2026-07-22 17:34:51,0.0078,2.0325,60.0,0.0339,0.0
78,1198080,train,2026-07-22 17:35:30,0.0,1.9369,60.0,0.0323,0.0
79,1213440,train,2026-07-22 17:36:09,0.0,1.876,60.0,0.0313,0.0
80,1228800,train,2026-07-22 17:36:48,0.0039,2.1004,60.0,0.035,0.0
81,1244160,train,2026-07-22 17:37:27,0.0078,1.8909,60.0,0.0315,0.0
82,1259520,train,2026-07-22 17:38:05,0.0,2.0008,60.0,0.0333,0.0
83,1274880,train,2026-07-22 17:38:45,0.0039,1.9742,60.0,0.0329,0.0
84,1290240,train,2026-07-22 17:39:24,0.0039,2.1003,60.0,0.035,0.0
85,1305600,train,2026-07-22 17:40:03,0.0,1.9358,60.0,0.0323,0.0
86,1320960,train,2026-07-22 17:40:42,0.0039,2.0303,60.0,0.0338,0.0
87,1336320,train,2026-07-22 17:41:21,0.0039,2.1629,60.0,0.036,0.0
88,1351680,train,2026-07-22 17:42:00,0.0,2.3564,60.0,0.0393,0.0
89,1367040,train,2026-07-22 17:42:39,0.0078,1.8848,60.0,0.0314,0.0
90,1382400,train,2026-07-22 17:43:17,0.0039,1.8169,60.0,0.0303,0.0
91,1397760,train,2026-07-22 17:43:56,0.0078,2.1491,60.0,0.0358,0.0
92,1413120,train,2026-07-22 17:44:35,0.0039,2.1464,60.0,0.0358,0.0
93,1428480,train,2026-07-22 17:45:14,0.0078,1.9669,60.0,0.0328,0.0
94,1443840,train,2026-07-22 17:45:53,0.0,2.0513,60.0,0.0342,0.0
95,1459200,train,2026-07-22 17:46:31,0.0039,2.0461,60.0,0.0341,0.0
96,1474560,train,2026-07-22 17:47:10,0.0,2.2478,60.0,0.0375,0.0
97,1474560,eval,2026-07-22 17:49:18,0.2708,6.7452,60.0,0.1124,0.026
97,1489920,train,2026-07-22 17:49:35,0.0,1.9535,60.0,0.0326,0.0
98,1505280,train,2026-07-22 17:50:14,0.0039,2.2897,60.0,0.0382,0.0
99,1520640,train,2026-07-22 17:50:53,0.0,2.1613,60.0,0.036,0.0
100,1536000,train,2026-07-22 17:51:33,0.0039,2.1212,60.0,0.0354,0.0
101,1551360,train,2026-07-22 17:52:11,0.0039,2.159,60.0,0.036,0.0
102,1566720,train,2026-07-22 17:52:50,0.0078,2.2483,60.0,0.0375,0.0
103,1582080,train,2026-07-22 17:53:29,0.0078,2.1055,60.0,0.0351,0.0
104,1597440,train,2026-07-22 17:54:08,0.0,2.4529,60.0,0.0409,0.0
105,1612800,train,2026-07-22 17:54:47,0.0039,2.2611,60.0,0.0377,0.0
106,1628160,train,2026-07-22 17:55:26,0.0,1.9425,60.0,0.0324,0.0
107,1643520,train,2026-07-22 17:56:05,0.0,2.1248,60.0,0.0354,0.0
108,1658880,train,2026-07-22 17:56:44,0.0,1.9979,60.0,0.0333,0.0
109,1674240,train,2026-07-22 17:57:23,0.0039,2.3005,60.0,0.0383,0.0
110,1689600,train,2026-07-22 17:58:02,0.0,2.2005,60.0,0.0367,0.0
111,1704960,train,2026-07-22 17:58:41,0.0117,2.0226,60.0,0.0337,0.0
112,1720320,train,2026-07-22 17:59:20,0.0078,2.0575,60.0,0.0343,0.0039
113,1735680,train,2026-07-22 17:59:59,0.0078,2.1001,60.0,0.035,0.0
114,1751040,train,2026-07-22 18:00:38,0.0039,2.0761,60.0,0.0346,0.0
115,1766400,train,2026-07-22 18:01:03,0.0039,2.0106,60.0,0.0335,0.0
116,1781760,train,2026-07-22 18:01:42,0.0,2.1593,60.0,0.036,0.0
117,1797120,train,2026-07-22 18:02:21,0.0039,2.0708,60.0,0.0345,0.0
118,1812480,train,2026-07-22 18:03:00,0.0,2.1385,60.0,0.0356,0.0
119,1827840,train,2026-07-22 18:03:39,0.0039,2.0693,60.0,0.0345,0.0
120,1843200,train,2026-07-22 18:04:18,0.0039,2.1497,60.0,0.0358,0.0
121,1843200,eval,2026-07-22 18:06:29,0.2865,5.3169,60.0,0.0886,0.0469
121,1858560,train,2026-07-22 18:06:46,0.0,2.0363,60.0,0.0339,0.0
122,1873920,train,2026-07-22 18:07:24,0.0,2.18,60.0,0.0363,0.0
123,1889280,train,2026-07-22 18:08:04,0.0078,2.2643,60.0,0.0377,0.0
124,1904640,train,2026-07-22 18:08:43,0.0,2.1879,60.0,0.0365,0.0
125,1920000,train,2026-07-22 18:09:21,0.0039,2.3309,60.0,0.0388,0.0
126,1935360,train,2026-07-22 18:10:00,0.0,2.2716,60.0,0.0379,0.0
127,1950720,train,2026-07-22 18:10:39,0.0,2.2296,60.0,0.0372,0.0
128,1966080,train,2026-07-22 18:11:18,0.0039,2.1172,60.0,0.0353,0.0
129,1981440,train,2026-07-22 18:11:57,0.0039,2.2957,60.0,0.0383,0.0
130,1996800,train,2026-07-22 18:12:36,0.0117,2.0393,60.0,0.034,0.0
131,2012160,train,2026-07-22 18:13:15,0.0039,2.0994,60.0,0.035,0.0
132,2027520,train,2026-07-22 18:13:53,0.0,2.3295,60.0,0.0388,0.0
133,2042880,train,2026-07-22 18:14:32,0.0,1.9624,60.0,0.0327,0.0
134,2058240,train,2026-07-22 18:15:11,0.0039,2.1655,60.0,0.0361,0.0
135,2073600,train,2026-07-22 18:15:50,0.0,2.1324,60.0,0.0355,0.0
136,2088960,train,2026-07-22 18:16:29,0.0078,2.0463,60.0,0.0341,0.0
137,2104320,train,2026-07-22 18:17:08,0.0039,2.1902,60.0,0.0365,0.0039
138,2119680,train,2026-07-22 18:17:47,0.0039,2.1253,60.0,0.0354,0.0
139,2135040,train,2026-07-22 18:18:26,0.0,1.9627,60.0,0.0327,0.0
140,2150400,train,2026-07-22 18:19:05,0.0039,2.166,60.0,0.0361,0.0
141,2165760,train,2026-07-22 18:19:44,0.0117,2.1995,60.0,0.0367,0.0
142,2181120,train,2026-07-22 18:20:17,0.0039,2.0538,60.0,0.0342,0.0
143,2196480,train,2026-07-22 18:20:56,0.0117,2.1157,60.0,0.0353,0.0
