iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-14 06:43:01,0.0,0.0419,90.0,0.0005,0.0
2,23040,train,2026-07-14 06:43:46,0.0,0.1032,90.0,0.0011,0.0
3,46080,train,2026-07-14 06:44:32,0.0,0.085,90.0,0.0009,0.0
5,69120,train,2026-07-14 06:45:39,0.0,0.0362,90.0,0.0004,0.0
6,92160,train,2026-07-14 06:46:24,0.0,0.03,90.0,0.0003,0.0
8,115200,train,2026-07-14 06:47:30,0.0,0.015,90.0,0.0002,0.0
9,138240,train,2026-07-14 06:48:15,0.0,0.007,90.0,0.0001,0.0
11,161280,train,2026-07-14 06:48:47,0.0,0.0141,90.0,0.0002,0.0
12,184320,train,2026-07-14 06:49:32,0.0,0.0064,90.0,0.0001,0.0
14,207360,train,2026-07-14 06:50:18,0.0,0.0065,90.0,0.0001,0.0
15,230400,train,2026-07-14 06:51:03,0.0,0.0052,90.0,0.0001,0.0
17,253440,train,2026-07-14 06:51:57,0.0,0.0109,90.0,0.0001,0.0
18,276480,train,2026-07-14 06:52:42,0.0,0.0057,90.0,0.0001,0.0
20,299520,train,2026-07-14 06:53:25,0.0,0.0071,90.0,0.0001,0.0
21,322560,train,2026-07-14 06:54:09,0.0,0.005,90.0,0.0001,0.0
23,345600,train,2026-07-14 06:54:37,0.0,0.0051,90.0,0.0001,0.0
24,368640,train,2026-07-14 06:55:02,0.0,0.0041,90.0,0.0,0.0
25,368640,eval,2026-07-14 06:56:39,0.0,0.0019,90.0,0.0,0.0
26,391680,train,2026-07-14 06:57:04,0.0,0.0027,90.0,0.0,0.0
27,414720,train,2026-07-14 06:57:29,0.0,0.0034,90.0,0.0,0.0
29,437760,train,2026-07-14 06:58:24,0.0,0.0033,90.0,0.0,0.0
30,460800,train,2026-07-14 06:58:53,0.0,0.0035,90.0,0.0,0.0
32,483840,train,2026-07-14 06:59:45,0.0,0.0031,90.0,0.0,0.0
33,506880,train,2026-07-14 07:00:13,0.0,0.0029,90.0,0.0,0.0
35,529920,train,2026-07-14 07:01:20,0.0,0.0039,90.0,0.0,0.0
36,552960,train,2026-07-14 07:02:04,0.0,0.0026,90.0,0.0,0.0
38,576000,train,2026-07-14 07:03:11,0.0,0.0062,90.0,0.0001,0.0
39,599040,train,2026-07-14 07:03:55,0.0,0.0027,90.0,0.0,0.0
41,622080,train,2026-07-14 07:05:02,0.0,0.0054,90.0,0.0001,0.0
42,645120,train,2026-07-14 07:05:46,0.0,0.002,90.0,0.0,0.0
44,668160,train,2026-07-14 07:06:53,0.0,0.0031,90.0,0.0,0.0
45,691200,train,2026-07-14 07:07:38,0.0,0.0034,90.0,0.0,0.0
47,714240,train,2026-07-14 07:08:44,0.0,0.0035,90.0,0.0,0.0
48,737280,train,2026-07-14 07:09:29,0.0,0.0056,90.0,0.0001,0.0
49,737280,eval,2026-07-14 07:11:19,0.0,0.0012,90.0,0.0,0.0
50,760320,train,2026-07-14 07:12:04,0.0,0.0027,90.0,0.0,0.0
51,783360,train,2026-07-14 07:12:49,0.0,0.0021,90.0,0.0,0.0
53,806400,train,2026-07-14 07:13:56,0.0,0.0031,90.0,0.0,0.0
54,829440,train,2026-07-14 07:14:41,0.0,0.0031,90.0,0.0,0.0
56,852480,train,2026-07-14 07:15:48,0.0,0.0019,90.0,0.0,0.0
57,875520,train,2026-07-14 07:16:32,0.0,0.004,90.0,0.0,0.0
59,898560,train,2026-07-14 07:17:39,0.0,0.0053,90.0,0.0001,0.0
60,921600,train,2026-07-14 07:18:23,0.0,0.0027,90.0,0.0,0.0
62,944640,train,2026-07-14 07:19:30,0.0,0.0022,90.0,0.0,0.0
63,967680,train,2026-07-14 07:20:15,0.0,0.0033,90.0,0.0,0.0
65,990720,train,2026-07-14 07:21:21,0.0,0.0028,90.0,0.0,0.0
66,1013760,train,2026-07-14 07:22:06,0.0,0.0043,90.0,0.0,0.0
68,1036800,train,2026-07-14 07:23:13,0.0,0.0029,90.0,0.0,0.0
69,1059840,train,2026-07-14 07:23:57,0.0,0.0025,90.0,0.0,0.0
71,1082880,train,2026-07-14 07:25:04,0.0,0.0024,90.0,0.0,0.0
72,1105920,train,2026-07-14 07:25:48,0.0,0.0028,90.0,0.0,0.0
73,1105920,eval,2026-07-14 07:27:40,0.0,0.0015,90.0,0.0,0.0
74,1128960,train,2026-07-14 07:28:25,0.0,0.0026,90.0,0.0,0.0
75,1152000,train,2026-07-14 07:29:10,0.0,0.0038,90.0,0.0,0.0
77,1175040,train,2026-07-14 07:30:17,0.0,0.0024,90.0,0.0,0.0
78,1198080,train,2026-07-14 07:30:45,0.0,0.0025,90.0,0.0,0.0
