iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-24 06:07:30,0.0,9.9422,60.0,0.1657,0.0
1,15360,train,2026-05-24 06:08:01,0.0,0.0961,60.0,0.0016,0.0
2,30720,train,2026-05-24 06:08:32,0.0,0.1114,60.0,0.0019,0.0
3,46080,train,2026-05-24 06:09:03,0.0,0.1902,60.0,0.0032,0.0
4,61440,train,2026-05-24 06:09:32,0.0,0.2242,60.0,0.0037,0.0
5,76800,train,2026-05-24 06:10:02,0.0,0.3775,60.0,0.0063,0.0
6,92160,train,2026-05-24 06:10:30,0.0039,0.63,60.0,0.0105,0.0039
7,107520,train,2026-05-24 06:10:57,0.0,0.6926,60.0,0.0115,0.0
8,122880,train,2026-05-24 06:11:25,0.0,0.8206,60.0,0.0137,0.0
9,138240,train,2026-05-24 06:11:52,0.0,0.9463,60.0,0.0158,0.0
10,153600,train,2026-05-24 06:12:19,0.0,1.1423,60.0,0.019,0.0
11,168960,train,2026-05-24 06:12:46,0.0,1.1124,60.0,0.0185,0.0
12,184320,train,2026-05-24 06:13:13,0.0,1.301,60.0,0.0217,0.0
13,199680,train,2026-05-24 06:13:38,0.0,1.1634,60.0,0.0194,0.0
14,215040,train,2026-05-24 06:14:04,0.0,1.2822,60.0,0.0214,0.0
15,230400,train,2026-05-24 06:14:30,0.0,1.3856,60.0,0.0231,0.0
16,245760,train,2026-05-24 06:14:56,0.0,1.5816,60.0,0.0264,0.0
17,261120,train,2026-05-24 06:15:22,0.0,1.5724,60.0,0.0262,0.0
18,276480,train,2026-05-24 06:15:49,0.0,1.6456,60.0,0.0274,0.0
19,291840,train,2026-05-24 06:16:15,0.0,1.6077,60.0,0.0268,0.0
20,307200,train,2026-05-24 06:16:41,0.0,1.6436,60.0,0.0274,0.0
21,322560,train,2026-05-24 06:17:07,0.0,1.6682,60.0,0.0278,0.0
22,337920,train,2026-05-24 06:17:33,0.0078,1.7595,60.0,0.0293,0.0039
23,353280,train,2026-05-24 06:18:00,0.0078,1.8394,60.0,0.0307,0.0
24,368640,train,2026-05-24 06:18:27,0.0,1.7493,60.0,0.0292,0.0
25,384000,train,2026-05-24 06:18:53,0.0,1.87,60.0,0.0312,0.0
26,399360,train,2026-05-24 06:19:20,0.0039,1.8968,60.0,0.0316,0.0
27,414720,train,2026-05-24 06:19:47,0.0039,1.7861,60.0,0.0298,0.0
28,430080,train,2026-05-24 06:20:14,0.0,1.9375,60.0,0.0323,0.0
29,445440,train,2026-05-24 06:20:40,0.0039,1.7685,60.0,0.0295,0.0
30,460800,train,2026-05-24 06:21:07,0.0,1.8111,60.0,0.0302,0.0
31,476160,train,2026-05-24 06:21:33,0.0,1.7008,60.0,0.0283,0.0
32,491520,train,2026-05-24 06:22:00,0.0039,2.0095,60.0,0.0335,0.0
33,506880,train,2026-05-24 06:22:27,0.0,1.9404,60.0,0.0323,0.0
34,522240,train,2026-05-24 06:22:53,0.0,1.8165,60.0,0.0303,0.0
35,537600,train,2026-05-24 06:23:20,0.0,1.7389,60.0,0.029,0.0
36,552960,train,2026-05-24 06:23:47,0.0,1.8591,60.0,0.031,0.0
37,568320,train,2026-05-24 06:24:14,0.0,1.9784,60.0,0.033,0.0
38,583680,train,2026-05-24 06:24:40,0.0,2.1742,60.0,0.0362,0.0
39,599040,train,2026-05-24 06:25:06,0.0,1.7653,60.0,0.0294,0.0
40,614400,train,2026-05-24 06:25:32,0.0078,1.9838,60.0,0.0331,0.0
41,629760,train,2026-05-24 06:26:00,0.0,1.9832,60.0,0.0331,0.0
42,645120,train,2026-05-24 06:26:26,0.0,1.856,60.0,0.0309,0.0
43,660480,train,2026-05-24 06:26:53,0.0,1.9806,60.0,0.033,0.0
44,675840,train,2026-05-24 06:27:19,0.0039,1.7458,60.0,0.0291,0.0
45,691200,train,2026-05-24 06:27:46,0.0,1.8138,60.0,0.0302,0.0
46,706560,train,2026-05-24 06:28:12,0.0,1.741,60.0,0.029,0.0
47,721920,train,2026-05-24 06:28:38,0.0,2.0627,60.0,0.0344,0.0
48,737280,train,2026-05-24 06:29:05,0.0039,1.9931,60.0,0.0332,0.0
49,737280,eval,2026-05-24 06:30:39,0.1198,6.2286,60.0,0.1038,0.0365
49,752640,train,2026-05-24 06:31:04,0.0,1.9441,60.0,0.0324,0.0
50,768000,train,2026-05-24 06:31:30,0.0039,1.9578,60.0,0.0326,0.0
51,783360,train,2026-05-24 06:31:56,0.0078,2.0165,60.0,0.0336,0.0
52,798720,train,2026-05-24 06:32:22,0.0039,2.2089,60.0,0.0368,0.0
53,814080,train,2026-05-24 06:32:48,0.0,1.9113,60.0,0.0319,0.0
54,829440,train,2026-05-24 06:33:14,0.0078,1.8134,60.0,0.0302,0.0
55,844800,train,2026-05-24 06:33:40,0.0039,2.0946,60.0,0.0349,0.0
56,860160,train,2026-05-24 06:34:07,0.0,1.9508,60.0,0.0325,0.0
57,875520,train,2026-05-24 06:34:34,0.0078,2.1668,60.0,0.0361,0.0
58,890880,train,2026-05-24 06:35:00,0.0,2.0039,60.0,0.0334,0.0
59,906240,train,2026-05-24 06:35:27,0.0039,2.0525,60.0,0.0342,0.0
60,921600,train,2026-05-24 06:35:54,0.0,1.9366,60.0,0.0323,0.0
61,936960,train,2026-05-24 06:36:21,0.0,1.9471,60.0,0.0325,0.0
62,952320,train,2026-05-24 06:36:48,0.0,1.9197,60.0,0.032,0.0
63,967680,train,2026-05-24 06:37:15,0.0039,2.1924,60.0,0.0365,0.0
64,983040,train,2026-05-24 06:37:42,0.0039,2.2523,60.0,0.0375,0.0
65,998400,train,2026-05-24 06:38:09,0.0,1.9828,60.0,0.033,0.0
66,1013760,train,2026-05-24 06:38:35,0.0039,2.0378,60.0,0.034,0.0
67,1029120,train,2026-05-24 06:39:02,0.0039,2.1255,60.0,0.0354,0.0
68,1044480,train,2026-05-24 06:39:28,0.0,1.9724,60.0,0.0329,0.0
69,1059840,train,2026-05-24 06:39:55,0.0039,1.928,60.0,0.0321,0.0
70,1075200,train,2026-05-24 06:40:22,0.0039,1.9913,60.0,0.0332,0.0
71,1090560,train,2026-05-24 06:40:49,0.0,1.8383,60.0,0.0306,0.0
72,1105920,train,2026-05-24 06:41:16,0.0078,2.1458,60.0,0.0358,0.0
73,1121280,train,2026-05-24 06:41:43,0.0,1.9408,60.0,0.0323,0.0
74,1136640,train,2026-05-24 06:42:09,0.0039,1.8557,60.0,0.0309,0.0
75,1152000,train,2026-05-24 06:42:36,0.0039,2.0244,60.0,0.0337,0.0
76,1167360,train,2026-05-24 06:43:02,0.0,2.0014,60.0,0.0334,0.0
77,1182720,train,2026-05-24 06:43:28,0.0078,1.8099,60.0,0.0302,0.0
78,1198080,train,2026-05-24 06:43:54,0.0078,1.9169,60.0,0.0319,0.0
79,1213440,train,2026-05-24 06:44:20,0.0078,2.1184,60.0,0.0353,0.0
80,1228800,train,2026-05-24 06:44:45,0.0039,2.0209,60.0,0.0337,0.0
81,1244160,train,2026-05-24 06:45:11,0.0,1.9437,60.0,0.0324,0.0
82,1259520,train,2026-05-24 06:45:36,0.0039,1.8142,60.0,0.0302,0.0
83,1274880,train,2026-05-24 06:46:02,0.0,1.9264,60.0,0.0321,0.0
84,1290240,train,2026-05-24 06:46:27,0.0039,1.985,60.0,0.0331,0.0
85,1305600,train,2026-05-24 06:46:52,0.0078,1.8858,60.0,0.0314,0.0
86,1320960,train,2026-05-24 06:47:18,0.0,1.9724,60.0,0.0329,0.0
87,1336320,train,2026-05-24 06:47:48,0.0039,1.8767,60.0,0.0313,0.0
88,1351680,train,2026-05-24 06:48:13,0.0039,2.0314,60.0,0.0339,0.0
89,1367040,train,2026-05-24 06:48:38,0.0039,2.054,60.0,0.0342,0.0
90,1382400,train,2026-05-24 06:49:03,0.0039,1.9161,60.0,0.0319,0.0
91,1397760,train,2026-05-24 06:49:28,0.0,2.0561,60.0,0.0343,0.0
92,1413120,train,2026-05-24 06:49:53,0.0039,1.9404,60.0,0.0323,0.0
93,1428480,train,2026-05-24 06:50:18,0.0039,1.856,60.0,0.0309,0.0
94,1443840,train,2026-05-24 06:50:43,0.0,2.0457,60.0,0.0341,0.0
95,1459200,train,2026-05-24 06:51:09,0.0039,1.9308,60.0,0.0322,0.0
96,1474560,train,2026-05-24 06:51:35,0.0,2.0131,60.0,0.0336,0.0
97,1474560,eval,2026-05-24 06:53:07,0.2708,6.7592,60.0,0.1127,0.0469
97,1489920,train,2026-05-24 06:53:32,0.0,1.9092,60.0,0.0318,0.0
98,1505280,train,2026-05-24 06:53:58,0.0078,1.9506,60.0,0.0325,0.0
99,1520640,train,2026-05-24 06:54:23,0.0039,2.112,60.0,0.0352,0.0
100,1536000,train,2026-05-24 06:54:49,0.0078,2.0703,60.0,0.0345,0.0
101,1551360,train,2026-05-24 06:55:15,0.0039,2.1654,60.0,0.0361,0.0
102,1566720,train,2026-05-24 06:55:42,0.0,1.984,60.0,0.0331,0.0
103,1582080,train,2026-05-24 06:56:08,0.0078,2.1678,60.0,0.0361,0.0
104,1597440,train,2026-05-24 06:56:34,0.0039,2.2315,60.0,0.0372,0.0
105,1612800,train,2026-05-24 06:57:00,0.0039,2.1374,60.0,0.0356,0.0
106,1628160,train,2026-05-24 06:57:27,0.0039,2.0902,60.0,0.0348,0.0
107,1643520,train,2026-05-24 06:57:54,0.0,2.028,60.0,0.0338,0.0
108,1658880,train,2026-05-24 06:58:19,0.0,1.8932,60.0,0.0316,0.0
109,1674240,train,2026-05-24 06:58:45,0.0078,2.2015,60.0,0.0367,0.0
110,1689600,train,2026-05-24 06:59:10,0.0,2.0692,60.0,0.0345,0.0
111,1704960,train,2026-05-24 06:59:36,0.0039,2.1069,60.0,0.0351,0.0
112,1720320,train,2026-05-24 07:00:02,0.0039,1.9667,60.0,0.0328,0.0
113,1735680,train,2026-05-24 07:00:28,0.0078,2.257,60.0,0.0376,0.0
114,1751040,train,2026-05-24 07:00:54,0.0,2.0336,60.0,0.0339,0.0
115,1766400,train,2026-05-24 07:01:20,0.0039,1.9324,60.0,0.0322,0.0
116,1781760,train,2026-05-24 07:01:46,0.0039,1.9609,60.0,0.0327,0.0
117,1797120,train,2026-05-24 07:02:12,0.0,2.1282,60.0,0.0355,0.0
118,1812480,train,2026-05-24 07:02:39,0.0,2.0731,60.0,0.0346,0.0
119,1827840,train,2026-05-24 07:03:05,0.0,1.959,60.0,0.0327,0.0
120,1843200,train,2026-05-24 07:03:32,0.0039,2.1002,60.0,0.035,0.0
121,1858560,train,2026-05-24 07:03:58,0.0,2.2172,60.0,0.037,0.0
122,1873920,train,2026-05-24 07:04:25,0.0,1.9382,60.0,0.0323,0.0
123,1889280,train,2026-05-24 07:04:51,0.0,1.9406,60.0,0.0323,0.0
124,1904640,train,2026-05-24 07:05:17,0.0,2.1817,60.0,0.0364,0.0
125,1920000,train,2026-05-24 07:05:43,0.0,1.8213,60.0,0.0304,0.0
126,1935360,train,2026-05-24 07:06:09,0.0039,1.8447,60.0,0.0307,0.0
127,1950720,train,2026-05-24 07:06:37,0.0,1.8547,60.0,0.0309,0.0
