iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-16 05:59:36,0.0,0.7466,90.0,0.0083,0.0
1,23040,train,2026-04-16 05:59:56,0.0,0.7269,90.0,0.0081,0.0
2,46080,train,2026-04-16 06:00:19,0.0,0.7783,90.0,0.0086,0.0
3,69120,train,2026-04-16 06:00:42,0.0,0.8706,90.0,0.0097,0.0
4,92160,train,2026-04-16 06:01:05,0.0,0.9041,90.0,0.01,0.0
5,115200,train,2026-04-16 06:01:28,0.0,0.9244,90.0,0.0103,0.0
6,138240,train,2026-04-16 06:01:51,0.0,0.9148,90.0,0.0102,0.0
7,161280,train,2026-04-16 06:02:14,0.0,0.9132,90.0,0.0101,0.0
8,184320,train,2026-04-16 06:02:37,0.0,0.8661,90.0,0.0096,0.0
9,207360,train,2026-04-16 06:02:59,0.0,0.7589,90.0,0.0084,0.0
10,230400,train,2026-04-16 06:03:22,0.0,0.7304,90.0,0.0081,0.0
11,253440,train,2026-04-16 06:03:45,0.0,0.7368,90.0,0.0082,0.0
12,276480,train,2026-04-16 06:04:08,0.0,0.7255,90.0,0.0081,0.0
13,299520,train,2026-04-16 06:04:30,0.0,0.761,90.0,0.0085,0.0
14,322560,train,2026-04-16 06:04:53,0.0,0.7718,90.0,0.0086,0.0
15,345600,train,2026-04-16 06:05:16,0.0,0.809,90.0,0.009,0.0
16,368640,train,2026-04-16 06:05:38,0.0,0.8044,90.0,0.0089,0.0
17,391680,train,2026-04-16 06:06:01,0.0,0.787,90.0,0.0087,0.0
18,414720,train,2026-04-16 06:06:24,0.0,0.8319,90.0,0.0092,0.0
19,437760,train,2026-04-16 06:06:47,0.0,0.8106,90.0,0.009,0.0
20,460800,train,2026-04-16 06:07:09,0.0,0.7854,90.0,0.0087,0.0
21,483840,train,2026-04-16 06:07:32,0.0,0.7948,90.0,0.0088,0.0
22,506880,train,2026-04-16 06:07:55,0.0,0.8077,90.0,0.009,0.0
23,529920,train,2026-04-16 06:08:18,0.0,0.8306,90.0,0.0092,0.0
24,552960,train,2026-04-16 06:08:41,0.0,0.8263,90.0,0.0092,0.0
25,576000,train,2026-04-16 06:09:03,0.0,0.8131,90.0,0.009,0.0
26,576000,eval,2026-04-16 06:10:37,0.0,0.8608,90.0,0.0096,0.0
26,599040,train,2026-04-16 06:10:57,0.0,0.8038,90.0,0.0089,0.0
27,622080,train,2026-04-16 06:11:20,0.0,0.8351,90.0,0.0093,0.0
28,645120,train,2026-04-16 06:11:42,0.0,0.8273,90.0,0.0092,0.0
29,668160,train,2026-04-16 06:12:05,0.0,0.8438,90.0,0.0094,0.0
30,691200,train,2026-04-16 06:12:28,0.0,0.821,90.0,0.0091,0.0
31,714240,train,2026-04-16 06:12:50,0.0,0.8514,90.0,0.0095,0.0
32,737280,train,2026-04-16 06:13:13,0.0,0.8655,90.0,0.0096,0.0
33,760320,train,2026-04-16 06:13:36,0.0,0.8928,90.0,0.0099,0.0
34,783360,train,2026-04-16 06:13:59,0.0,0.9147,90.0,0.0102,0.0
35,806400,train,2026-04-16 06:14:21,0.0,0.949,90.0,0.0105,0.0
36,829440,train,2026-04-16 06:14:44,0.0,0.9802,90.0,0.0109,0.0
37,852480,train,2026-04-16 06:15:07,0.0,0.9715,90.0,0.0108,0.0
38,875520,train,2026-04-16 06:15:30,0.0,0.9839,90.0,0.0109,0.0
39,898560,train,2026-04-16 06:15:52,0.0,0.9981,90.0,0.0111,0.0
40,921600,train,2026-04-16 06:16:15,0.0,1.0216,90.0,0.0114,0.0
41,944640,train,2026-04-16 06:16:38,0.0,0.99,90.0,0.011,0.0
42,967680,train,2026-04-16 06:17:01,0.0,1.0129,90.0,0.0113,0.0
43,990720,train,2026-04-16 06:17:24,0.0,0.9836,90.0,0.0109,0.0
44,1013760,train,2026-04-16 06:17:46,0.0,0.9921,90.0,0.011,0.0
45,1036800,train,2026-04-16 06:18:09,0.0,1.0087,90.0,0.0112,0.0
46,1059840,train,2026-04-16 06:18:32,0.0,1.0142,90.0,0.0113,0.0
47,1082880,train,2026-04-16 06:18:55,0.0,0.963,90.0,0.0107,0.0
48,1105920,train,2026-04-16 06:19:17,0.0,1.0177,90.0,0.0113,0.0
49,1128960,train,2026-04-16 06:19:40,0.0,0.9671,90.0,0.0107,0.0
50,1152000,train,2026-04-16 06:20:03,0.0,0.9783,90.0,0.0109,0.0
51,1152000,eval,2026-04-16 06:21:37,0.0,0.9932,90.0,0.011,0.0
51,1175040,train,2026-04-16 06:21:57,0.0,0.9783,90.0,0.0109,0.0
52,1198080,train,2026-04-16 06:22:20,0.0,0.9943,90.0,0.011,0.0
53,1221120,train,2026-04-16 06:22:43,0.0,0.9816,90.0,0.0109,0.0
54,1244160,train,2026-04-16 06:23:05,0.0,1.0072,90.0,0.0112,0.0
55,1267200,train,2026-04-16 06:23:28,0.0,1.0343,90.0,0.0115,0.0
56,1290240,train,2026-04-16 06:23:51,0.0,1.0767,90.0,0.012,0.0
57,1313280,train,2026-04-16 06:24:13,0.0,1.0936,90.0,0.0122,0.0
58,1336320,train,2026-04-16 06:24:36,0.0,1.1017,90.0,0.0122,0.0
59,1359360,train,2026-04-16 06:24:59,0.0,1.1123,90.0,0.0124,0.0
60,1382400,train,2026-04-16 06:25:22,0.0,1.1137,90.0,0.0124,0.0
61,1405440,train,2026-04-16 06:25:44,0.0,1.1363,90.0,0.0126,0.0
62,1428480,train,2026-04-16 06:26:07,0.0,1.1323,90.0,0.0126,0.0
63,1451520,train,2026-04-16 06:26:30,0.0,1.1323,90.0,0.0126,0.0
64,1474560,train,2026-04-16 06:26:52,0.0,1.1828,90.0,0.0131,0.0
65,1497600,train,2026-04-16 06:27:15,0.0,1.1665,90.0,0.013,0.0
66,1520640,train,2026-04-16 06:27:38,0.0,1.1855,90.0,0.0132,0.0
67,1543680,train,2026-04-16 06:28:00,0.0,1.2096,90.0,0.0134,0.0
68,1566720,train,2026-04-16 06:28:23,0.0,1.2359,90.0,0.0137,0.0
69,1589760,train,2026-04-16 06:28:46,0.0,1.2223,90.0,0.0136,0.0
70,1612800,train,2026-04-16 06:29:09,0.0,1.2149,90.0,0.0135,0.0
71,1635840,train,2026-04-16 06:29:31,0.0,1.2823,90.0,0.0142,0.0
72,1658880,train,2026-04-16 06:29:54,0.0,1.3195,90.0,0.0147,0.0
73,1681920,train,2026-04-16 06:30:17,0.0,1.2587,90.0,0.014,0.0
74,1704960,train,2026-04-16 06:30:40,0.0039,1.4392,90.0,0.016,0.0
75,1728000,train,2026-04-16 06:31:03,0.0,1.3305,90.0,0.0148,0.0
76,1728000,eval,2026-04-16 06:32:37,0.0,1.4937,90.0,0.0166,0.0
76,1751040,train,2026-04-16 06:32:58,0.0,1.3675,90.0,0.0152,0.0
77,1774080,train,2026-04-16 06:33:20,0.0,1.4193,90.0,0.0158,0.0
78,1797120,train,2026-04-16 06:33:43,0.0,1.5144,90.0,0.0168,0.0
79,1820160,train,2026-04-16 06:34:06,0.0,1.6779,90.0,0.0186,0.0
80,1843200,train,2026-04-16 06:34:29,0.0039,1.7357,90.0,0.0193,0.0
81,1866240,train,2026-04-16 06:34:52,0.0078,1.7221,90.0,0.0191,0.0
82,1889280,train,2026-04-16 06:35:15,0.0,1.5395,90.0,0.0171,0.0
83,1912320,train,2026-04-16 06:35:38,0.0195,2.139,90.0,0.0238,0.0078
84,1935360,train,2026-04-16 06:36:01,0.0039,1.8146,90.0,0.0202,0.0
85,1958400,train,2026-04-16 06:36:24,0.0039,1.6421,90.0,0.0182,0.0
86,1981440,train,2026-04-16 06:36:46,0.0039,1.6665,90.0,0.0185,0.0039
87,2004480,train,2026-04-16 06:37:09,0.0039,1.5821,90.0,0.0176,0.0
88,2027520,train,2026-04-16 06:37:32,0.0,1.6504,90.0,0.0183,0.0
89,2050560,train,2026-04-16 06:37:55,0.0,1.5794,90.0,0.0175,0.0
90,2073600,train,2026-04-16 06:38:18,0.0039,1.6205,90.0,0.018,0.0039
91,2096640,train,2026-04-16 06:38:41,0.0078,1.837,90.0,0.0204,0.0
92,2119680,train,2026-04-16 06:39:04,0.0078,2.0844,90.0,0.0232,0.0
93,2142720,train,2026-04-16 06:39:27,0.0039,1.8715,90.0,0.0208,0.0
94,2165760,train,2026-04-16 06:39:50,0.0078,1.6482,90.0,0.0183,0.0
95,2188800,train,2026-04-16 06:40:13,0.0195,1.8163,90.0,0.0202,0.0
96,2211840,train,2026-04-16 06:40:36,0.0156,2.2912,90.0,0.0255,0.0078
97,2234880,train,2026-04-16 06:40:59,0.0117,2.2434,90.0,0.0249,0.0
98,2257920,train,2026-04-16 06:41:21,0.0117,2.1505,90.0,0.0239,0.0
99,2280960,train,2026-04-16 06:41:45,0.0078,2.2547,90.0,0.0251,0.0039
100,2304000,train,2026-04-16 06:42:08,0.0078,2.1055,90.0,0.0234,0.0
101,2304000,eval,2026-04-16 06:43:45,0.0,1.895,90.0,0.0211,0.0
101,2327040,train,2026-04-16 06:44:05,0.0234,2.7692,90.0,0.0308,0.0039
102,2350080,train,2026-04-16 06:44:28,0.0195,2.4536,90.0,0.0273,0.0
103,2373120,train,2026-04-16 06:44:51,0.0273,2.5965,90.0,0.0289,0.0039
104,2396160,train,2026-04-16 06:45:14,0.0195,2.4535,90.0,0.0273,0.0039
105,2419200,train,2026-04-16 06:45:37,0.0117,2.3373,90.0,0.026,0.0
106,2442240,train,2026-04-16 06:46:00,0.043,3.1966,90.0,0.0355,0.0078
107,2465280,train,2026-04-16 06:46:23,0.0312,3.153,90.0,0.035,0.0
108,2488320,train,2026-04-16 06:46:47,0.0781,4.1444,90.0,0.046,0.0039
109,2511360,train,2026-04-16 06:47:10,0.0391,3.3158,90.0,0.0368,0.0
110,2534400,train,2026-04-16 06:47:33,0.0508,3.5178,90.0,0.0391,0.0039
111,2557440,train,2026-04-16 06:47:56,0.082,4.0492,90.0,0.045,0.0039
112,2580480,train,2026-04-16 06:48:19,0.0859,4.2878,90.0,0.0476,0.0
113,2603520,train,2026-04-16 06:48:42,0.0938,4.3791,90.0,0.0487,0.0
114,2626560,train,2026-04-16 06:49:05,0.1094,4.5677,90.0,0.0508,0.0117
115,2649600,train,2026-04-16 06:49:29,0.0703,3.9282,90.0,0.0436,0.0078
116,2672640,train,2026-04-16 06:49:52,0.0938,4.1627,90.0,0.0463,0.0117
117,2695680,train,2026-04-16 06:50:15,0.0938,4.2509,90.0,0.0472,0.0
118,2718720,train,2026-04-16 06:50:38,0.0781,4.2591,90.0,0.0473,0.0039
119,2741760,train,2026-04-16 06:51:01,0.0977,4.5232,90.0,0.0503,0.0078
120,2764800,train,2026-04-16 06:51:24,0.1328,4.9111,90.0,0.0546,0.0039
121,2787840,train,2026-04-16 06:51:47,0.0664,3.7895,90.0,0.0421,0.0078
122,2810880,train,2026-04-16 06:52:10,0.125,5.0174,90.0,0.0557,0.0078
123,2833920,train,2026-04-16 06:52:34,0.1211,4.8342,90.0,0.0537,0.0078
124,2856960,train,2026-04-16 06:52:57,0.0742,3.5575,90.0,0.0395,0.0078
125,2880000,train,2026-04-16 06:53:20,0.1523,5.1947,90.0,0.0577,0.0078
126,2880000,eval,2026-04-16 06:54:58,0.2552,7.3328,90.0,0.0815,0.0208
126,2903040,train,2026-04-16 06:55:19,0.1719,5.0046,90.0,0.0556,0.0078
127,2926080,train,2026-04-16 06:55:42,0.1641,5.2149,90.0,0.0579,0.0039
128,2949120,train,2026-04-16 06:56:05,0.2148,6.2207,90.0,0.0691,0.0078
