iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-23 05:50:30,0.0,9.8642,60.0,0.1644,0.0
1,15360,train,2026-04-23 05:50:45,0.0,0.0668,60.0,0.0011,0.0
2,30720,train,2026-04-23 05:51:01,0.0,0.0607,60.0,0.001,0.0
3,46080,train,2026-04-23 05:51:17,0.0,0.0992,60.0,0.0017,0.0
4,61440,train,2026-04-23 05:51:33,0.0,0.1072,60.0,0.0018,0.0
5,76800,train,2026-04-23 05:51:49,0.0,0.2123,60.0,0.0035,0.0
6,92160,train,2026-04-23 05:52:05,0.0,0.2042,60.0,0.0034,0.0
7,107520,train,2026-04-23 05:52:21,0.0,0.3592,60.0,0.006,0.0
8,122880,train,2026-04-23 05:52:37,0.0,0.3461,60.0,0.0058,0.0
9,138240,train,2026-04-23 05:52:54,0.0,0.54,60.0,0.009,0.0
10,153600,train,2026-04-23 05:53:10,0.0,0.6537,60.0,0.0109,0.0
11,168960,train,2026-04-23 05:53:26,0.0,0.6809,60.0,0.0113,0.0
12,184320,train,2026-04-23 05:53:43,0.0,0.8583,60.0,0.0143,0.0
13,199680,train,2026-04-23 05:53:59,0.0,0.9625,60.0,0.016,0.0
14,215040,train,2026-04-23 05:54:15,0.0,1.0257,60.0,0.0171,0.0
15,230400,train,2026-04-23 05:54:32,0.0,1.0671,60.0,0.0178,0.0
16,245760,train,2026-04-23 05:54:48,0.0,1.3011,60.0,0.0217,0.0
17,261120,train,2026-04-23 05:55:05,0.0039,1.3166,60.0,0.0219,0.0
18,276480,train,2026-04-23 05:55:21,0.0,1.4555,60.0,0.0243,0.0
19,291840,train,2026-04-23 05:55:38,0.0,1.5694,60.0,0.0262,0.0
20,307200,train,2026-04-23 05:55:54,0.0039,1.6208,60.0,0.027,0.0
21,322560,train,2026-04-23 05:56:11,0.0039,1.8717,60.0,0.0312,0.0
22,337920,train,2026-04-23 05:56:27,0.0,2.035,60.0,0.0339,0.0
23,353280,train,2026-04-23 05:56:43,0.0,2.0844,60.0,0.0347,0.0
24,368640,train,2026-04-23 05:57:00,0.0,2.1664,60.0,0.0361,0.0
25,384000,train,2026-04-23 05:57:16,0.0,2.3555,60.0,0.0393,0.0
26,399360,train,2026-04-23 05:57:33,0.0,2.3482,60.0,0.0391,0.0
27,414720,train,2026-04-23 05:57:49,0.0,2.5015,60.0,0.0417,0.0
28,430080,train,2026-04-23 05:58:05,0.0039,2.5551,60.0,0.0426,0.0
29,445440,train,2026-04-23 05:58:22,0.0,2.3557,60.0,0.0393,0.0
30,460800,train,2026-04-23 05:58:38,0.0,2.669,60.0,0.0445,0.0
31,476160,train,2026-04-23 05:58:55,0.0039,2.7477,60.0,0.0458,0.0
32,491520,train,2026-04-23 05:59:11,0.0039,2.7966,60.0,0.0466,0.0
33,506880,train,2026-04-23 05:59:28,0.0039,2.6469,60.0,0.0441,0.0
34,522240,train,2026-04-23 05:59:44,0.0078,2.9454,60.0,0.0491,0.0
35,537600,train,2026-04-23 06:00:01,0.0039,2.9416,60.0,0.049,0.0
36,552960,train,2026-04-23 06:00:17,0.0117,3.0386,60.0,0.0506,0.0
37,568320,train,2026-04-23 06:00:33,0.0078,2.8747,60.0,0.0479,0.0
38,583680,train,2026-04-23 06:00:50,0.0,3.095,60.0,0.0516,0.0
39,599040,train,2026-04-23 06:01:06,0.0,2.8924,60.0,0.0482,0.0
40,614400,train,2026-04-23 06:01:23,0.0039,2.8556,60.0,0.0476,0.0
41,629760,train,2026-04-23 06:01:39,0.0039,3.0607,60.0,0.051,0.0
42,645120,train,2026-04-23 06:01:55,0.0,3.1312,60.0,0.0522,0.0
43,660480,train,2026-04-23 06:02:12,0.0,3.2354,60.0,0.0539,0.0
44,675840,train,2026-04-23 06:02:28,0.0039,3.1054,60.0,0.0518,0.0
45,691200,train,2026-04-23 06:02:45,0.0117,3.1537,60.0,0.0526,0.0
46,706560,train,2026-04-23 06:03:01,0.0078,3.3724,60.0,0.0562,0.0
47,721920,train,2026-04-23 06:03:17,0.0039,3.461,60.0,0.0577,0.0
48,737280,train,2026-04-23 06:03:34,0.0,3.3053,60.0,0.0551,0.0
49,737280,eval,2026-04-23 06:04:59,0.0208,5.7356,60.0,0.0956,0.0156
49,752640,train,2026-04-23 06:05:14,0.0,3.304,60.0,0.0551,0.0
50,768000,train,2026-04-23 06:05:31,0.0039,3.4115,60.0,0.0569,0.0
51,783360,train,2026-04-23 06:05:47,0.0039,3.3304,60.0,0.0555,0.0039
52,798720,train,2026-04-23 06:06:03,0.0117,3.2875,60.0,0.0548,0.0
53,814080,train,2026-04-23 06:06:20,0.0078,3.2909,60.0,0.0548,0.0
54,829440,train,2026-04-23 06:06:36,0.0,3.2445,60.0,0.0541,0.0
55,844800,train,2026-04-23 06:06:53,0.0039,3.214,60.0,0.0536,0.0
56,860160,train,2026-04-23 06:07:09,0.0,3.5771,60.0,0.0596,0.0
57,875520,train,2026-04-23 06:07:25,0.0,3.4706,60.0,0.0578,0.0
58,890880,train,2026-04-23 06:07:42,0.0078,3.3289,60.0,0.0555,0.0
59,906240,train,2026-04-23 06:07:58,0.0039,3.5799,60.0,0.0597,0.0
60,921600,train,2026-04-23 06:08:15,0.0078,3.654,60.0,0.0609,0.0
61,936960,train,2026-04-23 06:08:31,0.0117,3.3767,60.0,0.0563,0.0
62,952320,train,2026-04-23 06:08:47,0.0,3.576,60.0,0.0596,0.0
63,967680,train,2026-04-23 06:09:04,0.0,3.5081,60.0,0.0585,0.0
64,983040,train,2026-04-23 06:09:20,0.0,3.4798,60.0,0.058,0.0
65,998400,train,2026-04-23 06:09:37,0.0,3.7123,60.0,0.0619,0.0
66,1013760,train,2026-04-23 06:09:53,0.0,3.6668,60.0,0.0611,0.0
67,1029120,train,2026-04-23 06:10:10,0.0078,3.3558,60.0,0.0559,0.0
68,1044480,train,2026-04-23 06:10:26,0.0078,3.5264,60.0,0.0588,0.0
69,1059840,train,2026-04-23 06:10:43,0.0117,3.8311,60.0,0.0639,0.0
70,1075200,train,2026-04-23 06:10:59,0.0039,3.5995,60.0,0.06,0.0
71,1090560,train,2026-04-23 06:11:15,0.0078,3.5557,60.0,0.0593,0.0
72,1105920,train,2026-04-23 06:11:32,0.0039,3.7159,60.0,0.0619,0.0
73,1121280,train,2026-04-23 06:11:48,0.0,3.4542,60.0,0.0576,0.0
74,1136640,train,2026-04-23 06:12:05,0.0078,3.7142,60.0,0.0619,0.0
75,1152000,train,2026-04-23 06:12:21,0.0078,3.6098,60.0,0.0602,0.0
76,1167360,train,2026-04-23 06:12:37,0.0039,3.5734,60.0,0.0596,0.0
77,1182720,train,2026-04-23 06:12:54,0.0039,3.8657,60.0,0.0644,0.0
78,1198080,train,2026-04-23 06:13:10,0.0039,3.5435,60.0,0.0591,0.0
79,1213440,train,2026-04-23 06:13:27,0.0039,3.5735,60.0,0.0596,0.0
80,1228800,train,2026-04-23 06:13:43,0.0117,3.5079,60.0,0.0585,0.0
81,1244160,train,2026-04-23 06:13:59,0.0,3.9005,60.0,0.065,0.0
82,1259520,train,2026-04-23 06:14:16,0.0039,3.4453,60.0,0.0574,0.0
83,1274880,train,2026-04-23 06:14:32,0.0039,3.7984,60.0,0.0633,0.0
84,1290240,train,2026-04-23 06:14:49,0.0039,4.0153,60.0,0.0669,0.0
85,1305600,train,2026-04-23 06:15:05,0.0039,3.626,60.0,0.0604,0.0
86,1320960,train,2026-04-23 06:15:21,0.0078,3.9252,60.0,0.0654,0.0
87,1336320,train,2026-04-23 06:15:38,0.0,3.7086,60.0,0.0618,0.0
88,1351680,train,2026-04-23 06:15:54,0.0039,3.7253,60.0,0.0621,0.0
89,1367040,train,2026-04-23 06:16:11,0.0039,3.6629,60.0,0.061,0.0
90,1382400,train,2026-04-23 06:16:27,0.0078,3.812,60.0,0.0635,0.0
91,1397760,train,2026-04-23 06:16:43,0.0039,3.9082,60.0,0.0651,0.0
92,1413120,train,2026-04-23 06:17:00,0.0,3.9075,60.0,0.0651,0.0
93,1428480,train,2026-04-23 06:17:16,0.0039,3.9025,60.0,0.065,0.0
94,1443840,train,2026-04-23 06:17:33,0.0,4.0257,60.0,0.0671,0.0
95,1459200,train,2026-04-23 06:17:49,0.0078,3.9441,60.0,0.0657,0.0
96,1474560,train,2026-04-23 06:18:06,0.0,4.0716,60.0,0.0679,0.0
97,1474560,eval,2026-04-23 06:19:31,0.1198,8.287,60.0,0.1381,0.0729
97,1489920,train,2026-04-23 06:19:47,0.0039,3.7416,60.0,0.0624,0.0
98,1505280,train,2026-04-23 06:20:03,0.0,3.7164,60.0,0.0619,0.0
99,1520640,train,2026-04-23 06:20:19,0.0,3.9168,60.0,0.0653,0.0
100,1536000,train,2026-04-23 06:20:36,0.0039,3.5905,60.0,0.0598,0.0
101,1551360,train,2026-04-23 06:20:52,0.0,3.9601,60.0,0.066,0.0
102,1566720,train,2026-04-23 06:21:09,0.0,3.9033,60.0,0.0651,0.0
103,1582080,train,2026-04-23 06:21:25,0.0039,4.159,60.0,0.0693,0.0
104,1597440,train,2026-04-23 06:21:41,0.0039,4.1036,60.0,0.0684,0.0
105,1612800,train,2026-04-23 06:21:58,0.0039,4.0272,60.0,0.0671,0.0
106,1628160,train,2026-04-23 06:22:14,0.0156,4.1082,60.0,0.0685,0.0
107,1643520,train,2026-04-23 06:22:31,0.0078,3.9282,60.0,0.0655,0.0
108,1658880,train,2026-04-23 06:22:47,0.0117,4.0913,60.0,0.0682,0.0
109,1674240,train,2026-04-23 06:23:04,0.0078,4.06,60.0,0.0677,0.0
110,1689600,train,2026-04-23 06:23:20,0.0117,4.1489,60.0,0.0691,0.0
111,1704960,train,2026-04-23 06:23:37,0.0039,4.0957,60.0,0.0683,0.0
112,1720320,train,2026-04-23 06:23:53,0.0078,4.307,60.0,0.0718,0.0
113,1735680,train,2026-04-23 06:24:09,0.0078,4.3307,60.0,0.0722,0.0
114,1751040,train,2026-04-23 06:24:26,0.0039,4.285,60.0,0.0714,0.0
115,1766400,train,2026-04-23 06:24:42,0.0,4.1379,60.0,0.069,0.0
116,1781760,train,2026-04-23 06:24:59,0.0039,4.1415,60.0,0.069,0.0
117,1797120,train,2026-04-23 06:25:15,0.0,4.1389,60.0,0.069,0.0
118,1812480,train,2026-04-23 06:25:31,0.0,4.3543,60.0,0.0726,0.0
119,1827840,train,2026-04-23 06:25:48,0.0,4.0882,60.0,0.0681,0.0
120,1843200,train,2026-04-23 06:26:04,0.0117,4.5108,60.0,0.0752,0.0
121,1858560,train,2026-04-23 06:26:21,0.0,4.1799,60.0,0.0697,0.0
122,1873920,train,2026-04-23 06:26:37,0.0,4.187,60.0,0.0698,0.0
123,1889280,train,2026-04-23 06:26:54,0.0039,4.1293,60.0,0.0688,0.0
124,1904640,train,2026-04-23 06:27:10,0.0117,4.3137,60.0,0.0719,0.0
125,1920000,train,2026-04-23 06:27:27,0.0078,4.1719,60.0,0.0695,0.0
126,1935360,train,2026-04-23 06:27:43,0.0039,4.3729,60.0,0.0729,0.0
127,1950720,train,2026-04-23 06:27:59,0.0039,4.245,60.0,0.0708,0.0
128,1966080,train,2026-04-23 06:28:16,0.0,4.2683,60.0,0.0711,0.0
129,1981440,train,2026-04-23 06:28:32,0.0039,4.1161,60.0,0.0686,0.0
130,1996800,train,2026-04-23 06:28:49,0.0039,4.3312,60.0,0.0722,0.0
131,2012160,train,2026-04-23 06:29:05,0.0,4.0826,60.0,0.068,0.0
132,2027520,train,2026-04-23 06:29:21,0.0039,4.1542,60.0,0.0692,0.0
133,2042880,train,2026-04-23 06:29:38,0.0,4.2617,60.0,0.071,0.0
134,2058240,train,2026-04-23 06:29:54,0.0,4.2114,60.0,0.0702,0.0
135,2073600,train,2026-04-23 06:30:11,0.0039,4.2643,60.0,0.0711,0.0
136,2088960,train,2026-04-23 06:30:27,0.0039,4.5791,60.0,0.0763,0.0
137,2104320,train,2026-04-23 06:30:43,0.0,4.2619,60.0,0.071,0.0
138,2119680,train,2026-04-23 06:31:00,0.0078,4.44,60.0,0.074,0.0
139,2135040,train,2026-04-23 06:31:16,0.0,4.4437,60.0,0.0741,0.0
140,2150400,train,2026-04-23 06:31:32,0.0039,4.4484,60.0,0.0741,0.0
141,2165760,train,2026-04-23 06:31:49,0.0039,4.1332,60.0,0.0689,0.0
142,2181120,train,2026-04-23 06:32:05,0.0039,4.3446,60.0,0.0724,0.0
143,2196480,train,2026-04-23 06:32:22,0.0,4.563,60.0,0.076,0.0
144,2211840,train,2026-04-23 06:32:38,0.0039,4.615,60.0,0.0769,0.0
145,2211840,eval,2026-04-23 06:34:03,0.1146,9.0617,60.0,0.151,0.0469
145,2227200,train,2026-04-23 06:34:19,0.0,4.5312,60.0,0.0755,0.0
146,2242560,train,2026-04-23 06:34:35,0.0039,4.685,60.0,0.0781,0.0
147,2257920,train,2026-04-23 06:34:52,0.0039,4.7433,60.0,0.0791,0.0
148,2273280,train,2026-04-23 06:35:08,0.0,4.5784,60.0,0.0763,0.0
149,2288640,train,2026-04-23 06:35:24,0.0,4.4847,60.0,0.0747,0.0
150,2304000,train,2026-04-23 06:35:41,0.0039,4.6687,60.0,0.0778,0.0
151,2319360,train,2026-04-23 06:35:57,0.0,4.5548,60.0,0.0759,0.0
152,2334720,train,2026-04-23 06:36:14,0.0,4.86,60.0,0.081,0.0
153,2350080,train,2026-04-23 06:36:30,0.0039,4.7439,60.0,0.0791,0.0
154,2365440,train,2026-04-23 06:36:46,0.0,4.4337,60.0,0.0739,0.0
155,2380800,train,2026-04-23 06:37:03,0.0,4.395,60.0,0.0732,0.0
156,2396160,train,2026-04-23 06:37:19,0.0,4.5501,60.0,0.0758,0.0
157,2411520,train,2026-04-23 06:37:36,0.0078,4.413,60.0,0.0735,0.0
158,2426880,train,2026-04-23 06:37:52,0.0117,4.4167,60.0,0.0736,0.0
159,2442240,train,2026-04-23 06:38:08,0.0039,4.3378,60.0,0.0723,0.0
160,2457600,train,2026-04-23 06:38:25,0.0,4.3228,60.0,0.072,0.0
161,2472960,train,2026-04-23 06:38:41,0.0117,4.5365,60.0,0.0756,0.0
162,2488320,train,2026-04-23 06:38:58,0.0,4.3916,60.0,0.0732,0.0
163,2503680,train,2026-04-23 06:39:14,0.0,4.7111,60.0,0.0785,0.0
164,2519040,train,2026-04-23 06:39:30,0.0,4.5117,60.0,0.0752,0.0
165,2534400,train,2026-04-23 06:39:47,0.0039,4.5562,60.0,0.0759,0.0
166,2549760,train,2026-04-23 06:40:03,0.0117,4.8258,60.0,0.0804,0.0
167,2565120,train,2026-04-23 06:40:20,0.0039,4.7328,60.0,0.0789,0.0
168,2580480,train,2026-04-23 06:40:36,0.0039,4.7573,60.0,0.0793,0.0
169,2595840,train,2026-04-23 06:40:53,0.0039,4.8344,60.0,0.0806,0.0
170,2611200,train,2026-04-23 06:41:09,0.0,4.5963,60.0,0.0766,0.0
171,2626560,train,2026-04-23 06:41:25,0.0117,4.7793,60.0,0.0797,0.0
172,2641920,train,2026-04-23 06:41:42,0.0,4.7718,60.0,0.0795,0.0
173,2657280,train,2026-04-23 06:41:58,0.0078,4.8696,60.0,0.0812,0.0
174,2672640,train,2026-04-23 06:42:15,0.0039,4.6339,60.0,0.0772,0.0
175,2688000,train,2026-04-23 06:42:31,0.0156,4.9567,60.0,0.0826,0.0
176,2703360,train,2026-04-23 06:42:47,0.0,4.5815,60.0,0.0764,0.0
177,2718720,train,2026-04-23 06:43:04,0.0117,4.882,60.0,0.0814,0.0
178,2734080,train,2026-04-23 06:43:20,0.0039,4.7761,60.0,0.0796,0.0
179,2749440,train,2026-04-23 06:43:37,0.0,4.5278,60.0,0.0755,0.0
180,2764800,train,2026-04-23 06:43:53,0.0078,4.6798,60.0,0.078,0.0
181,2780160,train,2026-04-23 06:44:09,0.0,4.6299,60.0,0.0772,0.0
182,2795520,train,2026-04-23 06:44:26,0.0234,4.946,60.0,0.0824,0.0
183,2810880,train,2026-04-23 06:44:42,0.0078,4.6103,60.0,0.0768,0.0
184,2826240,train,2026-04-23 06:44:59,0.0078,4.4954,60.0,0.0749,0.0
185,2841600,train,2026-04-23 06:45:15,0.0,4.9066,60.0,0.0818,0.0
186,2856960,train,2026-04-23 06:45:31,0.0078,4.9547,60.0,0.0826,0.0
187,2872320,train,2026-04-23 06:45:48,0.0,4.7399,60.0,0.079,0.0
188,2887680,train,2026-04-23 06:46:04,0.0039,4.9479,60.0,0.0825,0.0
189,2903040,train,2026-04-23 06:46:21,0.0156,4.7385,60.0,0.079,0.0
190,2918400,train,2026-04-23 06:46:37,0.0039,4.943,60.0,0.0824,0.0
191,2933760,train,2026-04-23 06:46:54,0.0039,4.6544,60.0,0.0776,0.0
192,2949120,train,2026-04-23 06:47:10,0.0039,4.57,60.0,0.0762,0.0
193,2949120,eval,2026-04-23 06:48:36,0.1458,9.7582,60.0,0.1626,0.1146
193,2964480,train,2026-04-23 06:48:51,0.0,4.7253,60.0,0.0788,0.0
194,2979840,train,2026-04-23 06:49:08,0.0039,4.561,60.0,0.076,0.0
195,2995200,train,2026-04-23 06:49:24,0.0,4.6255,60.0,0.0771,0.0
196,3010560,train,2026-04-23 06:49:41,0.0117,4.8068,60.0,0.0801,0.0
197,3025920,train,2026-04-23 06:49:57,0.0039,4.7295,60.0,0.0788,0.0
198,3041280,train,2026-04-23 06:50:14,0.0039,4.7318,60.0,0.0789,0.0
199,3056640,train,2026-04-23 06:50:30,0.0,5.0703,60.0,0.0845,0.0
200,3072000,train,2026-04-23 06:50:46,0.0,5.0732,60.0,0.0846,0.0
201,3087360,train,2026-04-23 06:51:03,0.0,4.834,60.0,0.0806,0.0
202,3102720,train,2026-04-23 06:51:19,0.0,4.9906,60.0,0.0832,0.0
203,3118080,train,2026-04-23 06:51:36,0.0156,4.9061,60.0,0.0818,0.0
204,3133440,train,2026-04-23 06:51:52,0.0156,5.0971,60.0,0.085,0.0
205,3148800,train,2026-04-23 06:52:09,0.0039,5.4038,60.0,0.0901,0.0
206,3164160,train,2026-04-23 06:52:25,0.0,5.1377,60.0,0.0856,0.0
207,3179520,train,2026-04-23 06:52:41,0.0039,5.0135,60.0,0.0836,0.0
208,3194880,train,2026-04-23 06:52:58,0.0039,4.9618,60.0,0.0827,0.0
209,3210240,train,2026-04-23 06:53:14,0.0039,4.9613,60.0,0.0827,0.0
210,3225600,train,2026-04-23 06:53:31,0.0039,5.0944,60.0,0.0849,0.0
211,3240960,train,2026-04-23 06:53:47,0.0078,5.0971,60.0,0.085,0.0
212,3256320,train,2026-04-23 06:54:04,0.0195,5.0494,60.0,0.0842,0.0
213,3271680,train,2026-04-23 06:54:20,0.0117,4.83,60.0,0.0805,0.0
214,3287040,train,2026-04-23 06:54:37,0.0,5.2084,60.0,0.0868,0.0
215,3302400,train,2026-04-23 06:54:53,0.0,5.221,60.0,0.087,0.0
216,3317760,train,2026-04-23 06:55:09,0.0156,5.1204,60.0,0.0853,0.0039
217,3333120,train,2026-04-23 06:55:26,0.0117,5.1407,60.0,0.0857,0.0039
218,3348480,train,2026-04-23 06:55:42,0.0,5.1668,60.0,0.0861,0.0
219,3363840,train,2026-04-23 06:55:59,0.0039,5.0533,60.0,0.0842,0.0
220,3379200,train,2026-04-23 06:56:15,0.0,5.1221,60.0,0.0854,0.0
221,3394560,train,2026-04-23 06:56:31,0.0078,5.1407,60.0,0.0857,0.0
222,3409920,train,2026-04-23 06:56:48,0.0078,5.175,60.0,0.0862,0.0
223,3425280,train,2026-04-23 06:57:04,0.0039,4.7549,60.0,0.0792,0.0
224,3440640,train,2026-04-23 06:57:21,0.0039,5.3391,60.0,0.089,0.0
225,3456000,train,2026-04-23 06:57:37,0.0078,5.1759,60.0,0.0863,0.0
226,3471360,train,2026-04-23 06:57:54,0.0117,5.16,60.0,0.086,0.0
227,3486720,train,2026-04-23 06:58:10,0.0039,5.087,60.0,0.0848,0.0
228,3502080,train,2026-04-23 06:58:27,0.0078,5.0131,60.0,0.0836,0.0
229,3517440,train,2026-04-23 06:58:43,0.0117,5.0572,60.0,0.0843,0.0
230,3532800,train,2026-04-23 06:58:59,0.0117,5.2181,60.0,0.087,0.0
231,3548160,train,2026-04-23 06:59:16,0.0156,5.0335,60.0,0.0839,0.0
232,3563520,train,2026-04-23 06:59:32,0.0039,5.1127,60.0,0.0852,0.0
233,3578880,train,2026-04-23 06:59:49,0.0117,4.9233,60.0,0.0821,0.0
234,3594240,train,2026-04-23 07:00:05,0.0156,5.0458,60.0,0.0841,0.0
235,3609600,train,2026-04-23 07:00:21,0.0156,5.2908,60.0,0.0882,0.0
236,3624960,train,2026-04-23 07:00:38,0.0039,5.1405,60.0,0.0857,0.0
237,3640320,train,2026-04-23 07:00:54,0.0039,5.0574,60.0,0.0843,0.0
238,3655680,train,2026-04-23 07:01:10,0.0078,5.2819,60.0,0.088,0.0
239,3671040,train,2026-04-23 07:01:27,0.0039,5.018,60.0,0.0836,0.0
240,3686400,train,2026-04-23 07:01:43,0.0078,5.2786,60.0,0.088,0.0
