iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-15 10:28:35,0.0,9.9456,60.0,0.1658,0.0
1,15360,train,2026-04-15 10:28:50,0.0,0.081,60.0,0.0014,0.0
2,30720,train,2026-04-15 10:29:05,0.0,0.0745,60.0,0.0012,0.0
3,46080,train,2026-04-15 10:29:21,0.0,0.0609,60.0,0.001,0.0
4,61440,train,2026-04-15 10:29:37,0.0,0.0811,60.0,0.0014,0.0
5,76800,train,2026-04-15 10:29:53,0.0,0.1082,60.0,0.0018,0.0
6,92160,train,2026-04-15 10:30:08,0.0,0.177,60.0,0.0029,0.0
7,107520,train,2026-04-15 10:30:24,0.0,0.267,60.0,0.0044,0.0
8,122880,train,2026-04-15 10:30:40,0.0,0.3693,60.0,0.0062,0.0
9,138240,train,2026-04-15 10:30:56,0.0,0.4698,60.0,0.0078,0.0
10,153600,train,2026-04-15 10:31:13,0.0,0.5689,60.0,0.0095,0.0
11,168960,train,2026-04-15 10:31:29,0.0,0.8137,60.0,0.0136,0.0
12,184320,train,2026-04-15 10:31:45,0.0,1.0148,60.0,0.0169,0.0
13,199680,train,2026-04-15 10:32:01,0.0,1.0708,60.0,0.0178,0.0
14,215040,train,2026-04-15 10:32:17,0.0,1.1776,60.0,0.0196,0.0
15,230400,train,2026-04-15 10:32:33,0.0,1.1565,60.0,0.0193,0.0
16,245760,train,2026-04-15 10:32:50,0.0,1.3194,60.0,0.022,0.0
17,261120,train,2026-04-15 10:33:06,0.0078,1.4249,60.0,0.0237,0.0
18,276480,train,2026-04-15 10:33:22,0.0039,1.4441,60.0,0.0241,0.0
19,291840,train,2026-04-15 10:33:38,0.0039,1.411,60.0,0.0235,0.0
20,307200,train,2026-04-15 10:33:54,0.0,1.4552,60.0,0.0243,0.0
21,322560,train,2026-04-15 10:34:11,0.0039,1.6517,60.0,0.0275,0.0
22,337920,train,2026-04-15 10:34:27,0.0,1.4331,60.0,0.0239,0.0
23,353280,train,2026-04-15 10:34:43,0.0078,1.5211,60.0,0.0254,0.0039
24,368640,train,2026-04-15 10:34:59,0.0039,1.5086,60.0,0.0251,0.0
25,384000,train,2026-04-15 10:35:15,0.0039,1.6384,60.0,0.0273,0.0
26,399360,train,2026-04-15 10:35:32,0.0,1.6266,60.0,0.0271,0.0
27,414720,train,2026-04-15 10:35:48,0.0,1.3608,60.0,0.0227,0.0
28,430080,train,2026-04-15 10:36:04,0.0,1.5602,60.0,0.026,0.0
29,445440,train,2026-04-15 10:36:20,0.0,1.5126,60.0,0.0252,0.0
30,460800,train,2026-04-15 10:36:36,0.0,1.6097,60.0,0.0268,0.0
31,476160,train,2026-04-15 10:36:53,0.0,1.6674,60.0,0.0278,0.0
32,491520,train,2026-04-15 10:37:09,0.0039,1.5331,60.0,0.0256,0.0
33,506880,train,2026-04-15 10:37:25,0.0039,1.5333,60.0,0.0256,0.0
34,522240,train,2026-04-15 10:37:41,0.0,1.8524,60.0,0.0309,0.0
35,537600,train,2026-04-15 10:37:57,0.0039,1.8297,60.0,0.0305,0.0
36,552960,train,2026-04-15 10:38:14,0.0,1.6898,60.0,0.0282,0.0
37,568320,train,2026-04-15 10:38:30,0.0039,1.842,60.0,0.0307,0.0
38,583680,train,2026-04-15 10:38:46,0.0039,1.9179,60.0,0.032,0.0
39,599040,train,2026-04-15 10:39:02,0.0,1.9272,60.0,0.0321,0.0
40,614400,train,2026-04-15 10:39:19,0.0,1.9027,60.0,0.0317,0.0
41,629760,train,2026-04-15 10:39:35,0.0,1.9041,60.0,0.0317,0.0
42,645120,train,2026-04-15 10:39:51,0.0039,1.9563,60.0,0.0326,0.0
43,660480,train,2026-04-15 10:40:07,0.0,2.0062,60.0,0.0334,0.0
44,675840,train,2026-04-15 10:40:23,0.0039,1.9873,60.0,0.0331,0.0
45,691200,train,2026-04-15 10:40:40,0.0,1.9163,60.0,0.0319,0.0
46,706560,train,2026-04-15 10:40:56,0.0039,1.9369,60.0,0.0323,0.0
47,721920,train,2026-04-15 10:41:12,0.0,1.9847,60.0,0.0331,0.0
48,737280,train,2026-04-15 10:41:28,0.0,1.909,60.0,0.0318,0.0
49,737280,eval,2026-04-15 10:42:52,0.0469,4.3623,60.0,0.0727,0.0417
49,752640,train,2026-04-15 10:43:07,0.0039,2.1643,60.0,0.0361,0.0
50,768000,train,2026-04-15 10:43:23,0.0,1.709,60.0,0.0285,0.0
51,783360,train,2026-04-15 10:43:39,0.0,1.7997,60.0,0.03,0.0
52,798720,train,2026-04-15 10:43:56,0.0039,2.0717,60.0,0.0345,0.0
53,814080,train,2026-04-15 10:44:12,0.0,1.887,60.0,0.0314,0.0
54,829440,train,2026-04-15 10:44:28,0.0,2.0868,60.0,0.0348,0.0
55,844800,train,2026-04-15 10:44:44,0.0,2.0113,60.0,0.0335,0.0
56,860160,train,2026-04-15 10:45:01,0.0,2.0597,60.0,0.0343,0.0
57,875520,train,2026-04-15 10:45:17,0.0039,1.9577,60.0,0.0326,0.0
58,890880,train,2026-04-15 10:45:33,0.0,2.0473,60.0,0.0341,0.0
59,906240,train,2026-04-15 10:45:50,0.0,2.0115,60.0,0.0335,0.0
60,921600,train,2026-04-15 10:46:06,0.0039,1.9765,60.0,0.0329,0.0
61,936960,train,2026-04-15 10:46:22,0.0039,2.0292,60.0,0.0338,0.0
62,952320,train,2026-04-15 10:46:39,0.0,2.126,60.0,0.0354,0.0
63,967680,train,2026-04-15 10:46:55,0.0,2.0634,60.0,0.0344,0.0
64,983040,train,2026-04-15 10:47:11,0.0,2.0104,60.0,0.0335,0.0
65,998400,train,2026-04-15 10:47:27,0.0,1.871,60.0,0.0312,0.0
66,1013760,train,2026-04-15 10:47:44,0.0,1.7706,60.0,0.0295,0.0
67,1029120,train,2026-04-15 10:48:00,0.0,2.0197,60.0,0.0337,0.0
68,1044480,train,2026-04-15 10:48:16,0.0,2.1331,60.0,0.0356,0.0
69,1059840,train,2026-04-15 10:48:33,0.0,2.079,60.0,0.0346,0.0
70,1075200,train,2026-04-15 10:48:49,0.0,2.1401,60.0,0.0357,0.0
71,1090560,train,2026-04-15 10:49:05,0.0,1.9464,60.0,0.0324,0.0
72,1105920,train,2026-04-15 10:49:21,0.0039,2.2062,60.0,0.0368,0.0
73,1121280,train,2026-04-15 10:49:38,0.0078,1.995,60.0,0.0333,0.0
74,1136640,train,2026-04-15 10:49:54,0.0039,2.0604,60.0,0.0343,0.0
75,1152000,train,2026-04-15 10:50:10,0.0,2.1264,60.0,0.0354,0.0
76,1167360,train,2026-04-15 10:50:26,0.0,2.0482,60.0,0.0341,0.0
77,1182720,train,2026-04-15 10:50:43,0.0,2.2553,60.0,0.0376,0.0
78,1198080,train,2026-04-15 10:50:59,0.0,2.0586,60.0,0.0343,0.0
79,1213440,train,2026-04-15 10:51:15,0.0,1.8449,60.0,0.0307,0.0
80,1228800,train,2026-04-15 10:51:31,0.0039,1.9726,60.0,0.0329,0.0
81,1244160,train,2026-04-15 10:51:48,0.0,2.2929,60.0,0.0382,0.0
82,1259520,train,2026-04-15 10:52:04,0.0039,2.0277,60.0,0.0338,0.0
83,1274880,train,2026-04-15 10:52:20,0.0,1.9637,60.0,0.0327,0.0
84,1290240,train,2026-04-15 10:52:36,0.0039,2.5538,60.0,0.0426,0.0
85,1305600,train,2026-04-15 10:52:53,0.0,2.1978,60.0,0.0366,0.0
86,1320960,train,2026-04-15 10:53:09,0.0,2.133,60.0,0.0356,0.0
87,1336320,train,2026-04-15 10:53:25,0.0,1.8857,60.0,0.0314,0.0
88,1351680,train,2026-04-15 10:53:41,0.0039,2.2154,60.0,0.0369,0.0
89,1367040,train,2026-04-15 10:53:58,0.0039,2.3449,60.0,0.0391,0.0
90,1382400,train,2026-04-15 10:54:14,0.0,2.4122,60.0,0.0402,0.0
91,1397760,train,2026-04-15 10:54:30,0.0117,2.3006,60.0,0.0383,0.0
92,1413120,train,2026-04-15 10:54:47,0.0039,2.1401,60.0,0.0357,0.0
93,1428480,train,2026-04-15 10:55:03,0.0,2.1037,60.0,0.0351,0.0
94,1443840,train,2026-04-15 10:55:19,0.0039,1.9682,60.0,0.0328,0.0
95,1459200,train,2026-04-15 10:55:36,0.0,2.0716,60.0,0.0345,0.0
96,1474560,train,2026-04-15 10:55:52,0.0,2.0124,60.0,0.0335,0.0
97,1474560,eval,2026-04-15 10:57:16,0.0625,3.7776,60.0,0.063,0.0469
97,1489920,train,2026-04-15 10:57:31,0.0,1.9332,60.0,0.0322,0.0
98,1505280,train,2026-04-15 10:57:48,0.0,2.044,60.0,0.0341,0.0
99,1520640,train,2026-04-15 10:58:04,0.0,1.9841,60.0,0.0331,0.0
100,1536000,train,2026-04-15 10:58:20,0.0,2.1685,60.0,0.0361,0.0
101,1551360,train,2026-04-15 10:58:37,0.0039,2.118,60.0,0.0353,0.0
102,1566720,train,2026-04-15 10:58:53,0.0,2.0307,60.0,0.0338,0.0
103,1582080,train,2026-04-15 10:59:09,0.0,2.0962,60.0,0.0349,0.0
104,1597440,train,2026-04-15 10:59:26,0.0078,2.0668,60.0,0.0344,0.0
105,1612800,train,2026-04-15 10:59:42,0.0039,2.1733,60.0,0.0362,0.0
106,1628160,train,2026-04-15 10:59:58,0.0,2.1591,60.0,0.036,0.0
107,1643520,train,2026-04-15 11:00:15,0.0,2.1564,60.0,0.0359,0.0
108,1658880,train,2026-04-15 11:00:31,0.0,2.0476,60.0,0.0341,0.0
109,1674240,train,2026-04-15 11:00:47,0.0,2.317,60.0,0.0386,0.0
110,1689600,train,2026-04-15 11:01:04,0.0,2.2016,60.0,0.0367,0.0
111,1704960,train,2026-04-15 11:01:20,0.0,2.1561,60.0,0.0359,0.0
112,1720320,train,2026-04-15 11:01:36,0.0039,2.2129,60.0,0.0369,0.0
113,1735680,train,2026-04-15 11:01:52,0.0,2.2678,60.0,0.0378,0.0
114,1751040,train,2026-04-15 11:02:09,0.0039,2.1616,60.0,0.036,0.0
115,1766400,train,2026-04-15 11:02:25,0.0039,2.2172,60.0,0.037,0.0
116,1781760,train,2026-04-15 11:02:41,0.0,2.0245,60.0,0.0337,0.0
117,1797120,train,2026-04-15 11:02:57,0.0,2.4111,60.0,0.0402,0.0
118,1812480,train,2026-04-15 11:03:14,0.0039,2.2481,60.0,0.0375,0.0
119,1827840,train,2026-04-15 11:03:30,0.0039,2.2724,60.0,0.0379,0.0
120,1843200,train,2026-04-15 11:03:46,0.0,2.0121,60.0,0.0335,0.0
121,1858560,train,2026-04-15 11:04:02,0.0039,2.1916,60.0,0.0365,0.0
