iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-15 06:06:50,0.0,9.9351,60.0,0.1656,0.0
1,15360,train,2026-04-15 06:07:05,0.0,0.0828,60.0,0.0014,0.0
2,30720,train,2026-04-15 06:07:21,0.0,0.0842,60.0,0.0014,0.0
3,46080,train,2026-04-15 06:07:37,0.0,0.1096,60.0,0.0018,0.0
4,61440,train,2026-04-15 06:07:53,0.0,0.2647,60.0,0.0044,0.0
5,76800,train,2026-04-15 06:08:10,0.0,0.4525,60.0,0.0075,0.0
6,92160,train,2026-04-15 06:08:26,0.0,0.6662,60.0,0.0111,0.0
7,107520,train,2026-04-15 06:08:42,0.0039,0.6464,60.0,0.0108,0.0
8,122880,train,2026-04-15 06:08:59,0.0,0.8776,60.0,0.0146,0.0
9,138240,train,2026-04-15 06:09:16,0.0,0.8601,60.0,0.0143,0.0
10,153600,train,2026-04-15 06:09:32,0.0039,1.0079,60.0,0.0168,0.0
11,168960,train,2026-04-15 06:09:49,0.0039,1.1163,60.0,0.0186,0.0
12,184320,train,2026-04-15 06:10:05,0.0,1.162,60.0,0.0194,0.0
13,199680,train,2026-04-15 06:10:22,0.0039,1.4178,60.0,0.0236,0.0
14,215040,train,2026-04-15 06:10:39,0.0039,1.4811,60.0,0.0247,0.0
15,230400,train,2026-04-15 06:10:55,0.0,1.7745,60.0,0.0296,0.0
16,245760,train,2026-04-15 06:11:12,0.0,1.4921,60.0,0.0249,0.0
17,261120,train,2026-04-15 06:11:29,0.0,1.6221,60.0,0.027,0.0
18,276480,train,2026-04-15 06:11:45,0.0,1.6934,60.0,0.0282,0.0
19,291840,train,2026-04-15 06:12:02,0.0,1.6637,60.0,0.0277,0.0
20,307200,train,2026-04-15 06:12:18,0.0,1.524,60.0,0.0254,0.0
21,322560,train,2026-04-15 06:12:35,0.0039,1.6684,60.0,0.0278,0.0
22,337920,train,2026-04-15 06:12:51,0.0,1.584,60.0,0.0264,0.0
23,353280,train,2026-04-15 06:13:08,0.0,1.5543,60.0,0.0259,0.0
24,368640,train,2026-04-15 06:13:25,0.0,1.5421,60.0,0.0257,0.0
25,384000,train,2026-04-15 06:13:41,0.0,1.6789,60.0,0.028,0.0
26,399360,train,2026-04-15 06:13:58,0.0,1.8622,60.0,0.031,0.0
27,414720,train,2026-04-15 06:14:14,0.0039,1.7993,60.0,0.03,0.0
28,430080,train,2026-04-15 06:14:31,0.0,1.8261,60.0,0.0304,0.0
29,445440,train,2026-04-15 06:14:47,0.0,1.7595,60.0,0.0293,0.0
30,460800,train,2026-04-15 06:15:04,0.0,1.815,60.0,0.0302,0.0
31,476160,train,2026-04-15 06:15:21,0.0039,1.8006,60.0,0.03,0.0
32,491520,train,2026-04-15 06:15:37,0.0,1.7489,60.0,0.0291,0.0
33,506880,train,2026-04-15 06:15:54,0.0,1.8651,60.0,0.0311,0.0
34,522240,train,2026-04-15 06:16:10,0.0,1.7683,60.0,0.0295,0.0
35,537600,train,2026-04-15 06:16:27,0.0078,2.1962,60.0,0.0366,0.0
36,552960,train,2026-04-15 06:16:44,0.0039,1.9445,60.0,0.0324,0.0
37,568320,train,2026-04-15 06:17:00,0.0,1.8567,60.0,0.0309,0.0
38,583680,train,2026-04-15 06:17:17,0.0039,1.9595,60.0,0.0327,0.0
39,599040,train,2026-04-15 06:17:34,0.0,1.8776,60.0,0.0313,0.0
40,614400,train,2026-04-15 06:17:51,0.0,2.0592,60.0,0.0343,0.0
41,629760,train,2026-04-15 06:18:07,0.0,2.0059,60.0,0.0334,0.0
42,645120,train,2026-04-15 06:18:24,0.0,2.0783,60.0,0.0346,0.0
43,660480,train,2026-04-15 06:18:41,0.0,2.088,60.0,0.0348,0.0
44,675840,train,2026-04-15 06:18:57,0.0,2.1129,60.0,0.0352,0.0
45,691200,train,2026-04-15 06:19:14,0.0039,2.1228,60.0,0.0354,0.0
46,706560,train,2026-04-15 06:19:31,0.0,2.3039,60.0,0.0384,0.0
47,721920,train,2026-04-15 06:19:48,0.0,1.9933,60.0,0.0332,0.0
48,737280,train,2026-04-15 06:20:04,0.0039,2.2169,60.0,0.0369,0.0
49,737280,eval,2026-04-15 06:21:23,0.099,6.4744,60.0,0.1079,0.0365
49,752640,train,2026-04-15 06:21:38,0.0,2.0385,60.0,0.034,0.0
50,768000,train,2026-04-15 06:21:55,0.0039,2.0201,60.0,0.0337,0.0
51,783360,train,2026-04-15 06:22:12,0.0,1.946,60.0,0.0324,0.0
52,798720,train,2026-04-15 06:22:29,0.0117,2.0751,60.0,0.0346,0.0
53,814080,train,2026-04-15 06:22:45,0.0,1.9138,60.0,0.0319,0.0
54,829440,train,2026-04-15 06:23:02,0.0078,1.9737,60.0,0.0329,0.0
55,844800,train,2026-04-15 06:23:19,0.0,2.0614,60.0,0.0344,0.0
56,860160,train,2026-04-15 06:23:35,0.0039,2.2068,60.0,0.0368,0.0
57,875520,train,2026-04-15 06:23:52,0.0,1.9036,60.0,0.0317,0.0
58,890880,train,2026-04-15 06:24:09,0.0,2.212,60.0,0.0369,0.0
59,906240,train,2026-04-15 06:24:26,0.0,2.2151,60.0,0.0369,0.0
60,921600,train,2026-04-15 06:24:42,0.0078,2.3921,60.0,0.0399,0.0
61,936960,train,2026-04-15 06:24:59,0.0156,2.4196,60.0,0.0403,0.0
62,952320,train,2026-04-15 06:25:16,0.0078,2.2715,60.0,0.0379,0.0039
63,967680,train,2026-04-15 06:25:32,0.0,2.2379,60.0,0.0373,0.0
64,983040,train,2026-04-15 06:25:49,0.0078,2.2214,60.0,0.037,0.0
65,998400,train,2026-04-15 06:26:07,0.0039,2.1646,60.0,0.0361,0.0
66,1013760,train,2026-04-15 06:26:24,0.0039,2.3732,60.0,0.0396,0.0
67,1029120,train,2026-04-15 06:27:00,0.0039,2.2929,60.0,0.0382,0.0
68,1044480,train,2026-04-15 06:27:17,0.0039,2.323,60.0,0.0387,0.0
69,1059840,train,2026-04-15 06:27:33,0.0,2.1502,60.0,0.0358,0.0
70,1075200,train,2026-04-15 06:27:50,0.0,2.4397,60.0,0.0407,0.0
71,1090560,train,2026-04-15 06:28:07,0.0039,2.2723,60.0,0.0379,0.0
72,1105920,train,2026-04-15 06:28:23,0.0039,2.2085,60.0,0.0368,0.0
73,1121280,train,2026-04-15 06:28:40,0.0078,2.2676,60.0,0.0378,0.0
74,1136640,train,2026-04-15 06:28:57,0.0,2.2408,60.0,0.0373,0.0
75,1152000,train,2026-04-15 06:29:14,0.0,2.5235,60.0,0.0421,0.0
76,1167360,train,2026-04-15 06:29:30,0.0039,2.1656,60.0,0.0361,0.0
77,1182720,train,2026-04-15 06:29:47,0.0078,2.265,60.0,0.0378,0.0
78,1198080,train,2026-04-15 06:30:04,0.0078,2.3572,60.0,0.0393,0.0
79,1213440,train,2026-04-15 06:30:21,0.0,2.3647,60.0,0.0394,0.0
80,1228800,train,2026-04-15 06:30:37,0.0078,2.4763,60.0,0.0413,0.0
81,1244160,train,2026-04-15 06:30:54,0.0078,2.4929,60.0,0.0415,0.0039
82,1259520,train,2026-04-15 06:31:11,0.0039,2.3846,60.0,0.0397,0.0
83,1274880,train,2026-04-15 06:31:27,0.0039,2.5101,60.0,0.0418,0.0
84,1290240,train,2026-04-15 06:31:44,0.0,2.5839,60.0,0.0431,0.0
85,1305600,train,2026-04-15 06:32:01,0.0,2.284,60.0,0.0381,0.0
86,1320960,train,2026-04-15 06:32:17,0.0039,2.4787,60.0,0.0413,0.0
87,1336320,train,2026-04-15 06:32:34,0.0039,2.1671,60.0,0.0361,0.0
88,1351680,train,2026-04-15 06:32:51,0.0,2.2912,60.0,0.0382,0.0
89,1367040,train,2026-04-15 06:33:08,0.0,2.4626,60.0,0.041,0.0
90,1382400,train,2026-04-15 06:33:24,0.0,2.3918,60.0,0.0399,0.0
91,1397760,train,2026-04-15 06:33:41,0.0078,2.4704,60.0,0.0412,0.0
92,1413120,train,2026-04-15 06:33:58,0.0156,2.4514,60.0,0.0409,0.0
93,1428480,train,2026-04-15 06:34:15,0.0,2.3702,60.0,0.0395,0.0
94,1443840,train,2026-04-15 06:34:31,0.0,2.5588,60.0,0.0426,0.0
95,1459200,train,2026-04-15 06:34:48,0.0039,2.3611,60.0,0.0394,0.0
96,1474560,train,2026-04-15 06:35:05,0.0039,2.443,60.0,0.0407,0.0
97,1474560,eval,2026-04-15 06:36:23,0.1354,7.1235,60.0,0.1187,0.1094
97,1489920,train,2026-04-15 06:36:39,0.0,2.3537,60.0,0.0392,0.0
98,1505280,train,2026-04-15 06:36:55,0.0,2.6189,60.0,0.0436,0.0
99,1520640,train,2026-04-15 06:37:12,0.0078,2.4525,60.0,0.0409,0.0
100,1536000,train,2026-04-15 06:37:29,0.0156,2.4642,60.0,0.0411,0.0
101,1551360,train,2026-04-15 06:37:46,0.0,2.3885,60.0,0.0398,0.0
102,1566720,train,2026-04-15 06:38:02,0.0,2.5363,60.0,0.0423,0.0
103,1582080,train,2026-04-15 06:38:19,0.0078,2.3607,60.0,0.0393,0.0
104,1597440,train,2026-04-15 06:38:35,0.0117,2.3916,60.0,0.0399,0.0
105,1612800,train,2026-04-15 06:38:52,0.0,2.2821,60.0,0.038,0.0
106,1628160,train,2026-04-15 06:39:09,0.0078,2.4854,60.0,0.0414,0.0
107,1643520,train,2026-04-15 06:39:25,0.0,2.4308,60.0,0.0405,0.0
108,1658880,train,2026-04-15 06:39:42,0.0,2.3938,60.0,0.0399,0.0
109,1674240,train,2026-04-15 06:39:59,0.0,2.5929,60.0,0.0432,0.0
110,1689600,train,2026-04-15 06:40:15,0.0,2.3498,60.0,0.0392,0.0
111,1704960,train,2026-04-15 06:40:32,0.0039,2.205,60.0,0.0367,0.0
112,1720320,train,2026-04-15 06:40:48,0.0039,2.6142,60.0,0.0436,0.0
113,1735680,train,2026-04-15 06:41:05,0.0078,2.597,60.0,0.0433,0.0
114,1751040,train,2026-04-15 06:41:22,0.0,2.6294,60.0,0.0438,0.0
115,1766400,train,2026-04-15 06:41:38,0.0,2.4347,60.0,0.0406,0.0
116,1781760,train,2026-04-15 06:41:55,0.0078,2.4095,60.0,0.0402,0.0
117,1797120,train,2026-04-15 06:42:12,0.0117,2.3793,60.0,0.0397,0.0
118,1812480,train,2026-04-15 06:42:29,0.0117,2.6295,60.0,0.0438,0.0
119,1827840,train,2026-04-15 06:42:45,0.0,2.2115,60.0,0.0369,0.0
120,1843200,train,2026-04-15 06:43:02,0.0,2.5249,60.0,0.0421,0.0
121,1858560,train,2026-04-15 06:43:19,0.0039,2.5015,60.0,0.0417,0.0
122,1873920,train,2026-04-15 06:43:35,0.0,2.368,60.0,0.0395,0.0
123,1889280,train,2026-04-15 06:43:52,0.0,2.4651,60.0,0.0411,0.0
124,1904640,train,2026-04-15 06:44:08,0.0,2.585,60.0,0.0431,0.0
125,1920000,train,2026-04-15 06:44:25,0.0,2.4807,60.0,0.0413,0.0
126,1935360,train,2026-04-15 06:44:42,0.0,2.6018,60.0,0.0434,0.0
127,1950720,train,2026-04-15 06:44:59,0.0,2.7013,60.0,0.045,0.0
128,1966080,train,2026-04-15 06:45:15,0.0,2.4525,60.0,0.0409,0.0
129,1981440,train,2026-04-15 06:45:32,0.0,2.6749,60.0,0.0446,0.0
130,1996800,train,2026-04-15 06:45:49,0.0,2.5135,60.0,0.0419,0.0
131,2012160,train,2026-04-15 06:46:05,0.0,2.6763,60.0,0.0446,0.0
132,2027520,train,2026-04-15 06:46:22,0.0039,2.5617,60.0,0.0427,0.0
133,2042880,train,2026-04-15 06:46:39,0.0039,2.8173,60.0,0.047,0.0
134,2058240,train,2026-04-15 06:46:56,0.0078,2.7783,60.0,0.0463,0.0
135,2073600,train,2026-04-15 06:47:12,0.0039,2.6157,60.0,0.0436,0.0
136,2088960,train,2026-04-15 06:47:29,0.0,2.6054,60.0,0.0434,0.0
137,2104320,train,2026-04-15 06:47:46,0.0039,2.7058,60.0,0.0451,0.0
138,2119680,train,2026-04-15 06:48:02,0.0039,2.5369,60.0,0.0423,0.0
139,2135040,train,2026-04-15 06:48:19,0.0,2.896,60.0,0.0483,0.0
140,2150400,train,2026-04-15 06:48:36,0.0039,2.4917,60.0,0.0415,0.0
141,2165760,train,2026-04-15 06:48:52,0.0,2.6327,60.0,0.0439,0.0
142,2181120,train,2026-04-15 06:49:09,0.0039,2.6658,60.0,0.0444,0.0
143,2196480,train,2026-04-15 06:49:26,0.0,2.8721,60.0,0.0479,0.0
144,2211840,train,2026-04-15 06:49:43,0.0,2.5583,60.0,0.0426,0.0
145,2211840,eval,2026-04-15 06:51:04,0.0469,4.1627,60.0,0.0694,0.0156
145,2227200,train,2026-04-15 06:51:19,0.0,2.7348,60.0,0.0456,0.0
146,2242560,train,2026-04-15 06:51:36,0.0078,3.0247,60.0,0.0504,0.0
147,2257920,train,2026-04-15 06:51:53,0.0039,2.5779,60.0,0.043,0.0
148,2273280,train,2026-04-15 06:52:10,0.0,2.8839,60.0,0.0481,0.0
149,2288640,train,2026-04-15 06:52:26,0.0039,2.5621,60.0,0.0427,0.0
150,2304000,train,2026-04-15 06:52:43,0.0039,2.6918,60.0,0.0449,0.0
151,2319360,train,2026-04-15 06:53:00,0.0039,2.9276,60.0,0.0488,0.0039
152,2334720,train,2026-04-15 06:53:17,0.0039,2.986,60.0,0.0498,0.0
153,2350080,train,2026-04-15 06:53:33,0.0,2.4368,60.0,0.0406,0.0
154,2365440,train,2026-04-15 06:53:50,0.0039,2.6599,60.0,0.0443,0.0
155,2380800,train,2026-04-15 06:54:07,0.0,2.5235,60.0,0.0421,0.0
156,2396160,train,2026-04-15 06:54:24,0.0078,2.8032,60.0,0.0467,0.0039
157,2411520,train,2026-04-15 06:54:41,0.0,2.6131,60.0,0.0436,0.0
158,2426880,train,2026-04-15 06:54:57,0.0,2.7083,60.0,0.0451,0.0
159,2442240,train,2026-04-15 06:55:14,0.0039,2.8054,60.0,0.0468,0.0
160,2457600,train,2026-04-15 06:55:31,0.0,2.7218,60.0,0.0454,0.0
161,2472960,train,2026-04-15 06:55:47,0.0,2.6421,60.0,0.044,0.0
162,2488320,train,2026-04-15 06:56:04,0.0039,2.6217,60.0,0.0437,0.0039
163,2503680,train,2026-04-15 06:56:21,0.0039,2.5446,60.0,0.0424,0.0
164,2519040,train,2026-04-15 06:56:38,0.0039,2.7357,60.0,0.0456,0.0
165,2534400,train,2026-04-15 06:56:54,0.0,2.6665,60.0,0.0444,0.0
166,2549760,train,2026-04-15 06:57:11,0.0,3.0908,60.0,0.0515,0.0
167,2565120,train,2026-04-15 06:57:28,0.0039,2.7236,60.0,0.0454,0.0
168,2580480,train,2026-04-15 06:57:44,0.0039,2.7678,60.0,0.0461,0.0
169,2595840,train,2026-04-15 06:58:01,0.0039,2.9159,60.0,0.0486,0.0
170,2611200,train,2026-04-15 06:58:18,0.0039,2.6195,60.0,0.0437,0.0
171,2626560,train,2026-04-15 06:58:35,0.0,2.7098,60.0,0.0452,0.0
172,2641920,train,2026-04-15 06:58:51,0.0039,2.7874,60.0,0.0465,0.0
173,2657280,train,2026-04-15 06:59:08,0.0,2.8808,60.0,0.048,0.0
174,2672640,train,2026-04-15 06:59:25,0.0,2.8713,60.0,0.0479,0.0
175,2688000,train,2026-04-15 06:59:41,0.0,2.6661,60.0,0.0444,0.0
176,2703360,train,2026-04-15 06:59:58,0.0039,2.7848,60.0,0.0464,0.0
177,2718720,train,2026-04-15 07:00:15,0.0,2.9198,60.0,0.0487,0.0
178,2734080,train,2026-04-15 07:00:31,0.0,2.597,60.0,0.0433,0.0
179,2749440,train,2026-04-15 07:00:48,0.0078,2.6509,60.0,0.0442,0.0
180,2764800,train,2026-04-15 07:01:05,0.0,2.9805,60.0,0.0497,0.0
181,2780160,train,2026-04-15 07:01:22,0.0078,2.696,60.0,0.0449,0.0
182,2795520,train,2026-04-15 07:01:38,0.0,2.7875,60.0,0.0465,0.0
183,2810880,train,2026-04-15 07:01:55,0.0039,2.7466,60.0,0.0458,0.0
184,2826240,train,2026-04-15 07:02:12,0.0039,2.6563,60.0,0.0443,0.0
185,2841600,train,2026-04-15 07:02:29,0.0,2.5759,60.0,0.0429,0.0
186,2856960,train,2026-04-15 07:02:45,0.0,2.981,60.0,0.0497,0.0
187,2872320,train,2026-04-15 07:03:02,0.0039,2.8142,60.0,0.0469,0.0
188,2887680,train,2026-04-15 07:03:19,0.0039,2.4439,60.0,0.0407,0.0
189,2903040,train,2026-04-15 07:03:35,0.0,2.7572,60.0,0.046,0.0
190,2918400,train,2026-04-15 07:03:52,0.0,2.6949,60.0,0.0449,0.0
191,2933760,train,2026-04-15 07:04:09,0.0,2.8668,60.0,0.0478,0.0
192,2949120,train,2026-04-15 07:04:25,0.0,2.491,60.0,0.0415,0.0
193,2949120,eval,2026-04-15 07:05:46,0.0,3.2977,60.0,0.055,0.0
193,2964480,train,2026-04-15 07:06:01,0.0,2.7493,60.0,0.0458,0.0
194,2979840,train,2026-04-15 07:06:18,0.0,2.9168,60.0,0.0486,0.0
195,2995200,train,2026-04-15 07:06:35,0.0,2.5417,60.0,0.0424,0.0
196,3010560,train,2026-04-15 07:06:51,0.0,2.7941,60.0,0.0466,0.0
197,3025920,train,2026-04-15 07:07:08,0.0,2.7564,60.0,0.0459,0.0
198,3041280,train,2026-04-15 07:07:25,0.0,2.7788,60.0,0.0463,0.0
199,3056640,train,2026-04-15 07:07:42,0.0,2.7153,60.0,0.0453,0.0
200,3072000,train,2026-04-15 07:07:58,0.0,2.5789,60.0,0.043,0.0
201,3087360,train,2026-04-15 07:08:15,0.0,2.6051,60.0,0.0434,0.0
202,3102720,train,2026-04-15 07:08:32,0.0,2.8093,60.0,0.0468,0.0
203,3118080,train,2026-04-15 07:08:48,0.0039,2.82,60.0,0.047,0.0
204,3133440,train,2026-04-15 07:09:05,0.0,2.608,60.0,0.0435,0.0
205,3148800,train,2026-04-15 07:09:22,0.0,2.7102,60.0,0.0452,0.0
206,3164160,train,2026-04-15 07:09:38,0.0,2.5717,60.0,0.0429,0.0
207,3179520,train,2026-04-15 07:09:55,0.0,2.7374,60.0,0.0456,0.0
208,3194880,train,2026-04-15 07:10:12,0.0,2.579,60.0,0.043,0.0
209,3210240,train,2026-04-15 07:10:29,0.0,2.8098,60.0,0.0468,0.0
210,3225600,train,2026-04-15 07:10:46,0.0,2.6592,60.0,0.0443,0.0
211,3240960,train,2026-04-15 07:11:03,0.0,2.6571,60.0,0.0443,0.0
212,3256320,train,2026-04-15 07:11:19,0.0,2.6258,60.0,0.0438,0.0
213,3271680,train,2026-04-15 07:11:36,0.0,2.4692,60.0,0.0412,0.0
214,3287040,train,2026-04-15 07:11:53,0.0,2.6672,60.0,0.0445,0.0
215,3302400,train,2026-04-15 07:12:10,0.0,2.731,60.0,0.0455,0.0
216,3317760,train,2026-04-15 07:12:27,0.0,2.293,60.0,0.0382,0.0
217,3333120,train,2026-04-15 07:12:43,0.0,2.5425,60.0,0.0424,0.0
218,3348480,train,2026-04-15 07:13:00,0.0,2.7939,60.0,0.0466,0.0
219,3363840,train,2026-04-15 07:13:17,0.0,2.6413,60.0,0.044,0.0
220,3379200,train,2026-04-15 07:13:34,0.0,2.6551,60.0,0.0443,0.0
221,3394560,train,2026-04-15 07:13:51,0.0,2.6342,60.0,0.0439,0.0
